c206C5: 1, 1244.37, 1244.37, 0.06, subproblem = 1, timelimit = 105
rc204C5: 1, 1176.39, 1176.39, 0.14, subproblem = 1, timelimit = 105
c101C5: 2, 2264.44, 2264.44, 0.00, subproblem = 1, timelimit = 105
r105C5: 2, 2156.08, 2156.08, 0.00, subproblem = 1, timelimit = 105
rc105C5: 2, 2233.77, 2233.77, 0.01, subproblem = 1, timelimit = 105
rc108C5: 2, 2253.93, 2253.93, 0.00, subproblem = 1, timelimit = 105
r104C5: 2, 2136.69, 2136.69, 0.00, subproblem = 1, timelimit = 105
c208C5: 1, 1158.48, 1158.48, 0.00, subproblem = 1, timelimit = 105
r202C5: 1, 1128.78, 1128.78, 0.00, subproblem = 1, timelimit = 105
c103C5: 1, 1175.37, 1175.37, 0.01, subproblem = 1, timelimit = 105
r203C5: 1, 1179.06, 1179.06, 0.00, subproblem = 1, timelimit = 105
rc208C5: 1, 1167.98, 1167.98, 0.01, subproblem = 1, timelimit = 105
c202C10: 1, 1304.06, 1304.06, 0.14, subproblem = 1, timelimit = 105
rc102C10: 4, 4423.51, 4423.51, 0.03, subproblem = 1, timelimit = 105
c101C10: 3, 3388.25, 3388.25, 0.09, subproblem = 1, timelimit = 105
rc108C10: 3, 3345.93, 3345.93, 0.04, subproblem = 1, timelimit = 105
r102C10: 3, 3249.19, 3249.19, 0.02, subproblem = 1, timelimit = 105
c205C10: 2, 2228.28, 2228.28, 0.01, subproblem = 1, timelimit = 105
rc201C10: 1, 1412.86, 1412.86, 0.03, subproblem = 1, timelimit = 105
rc205C10: 2, 2325.98, 2325.98, 0.07, subproblem = 1, timelimit = 105
r201C10: 1, 1241.51, 1241.51, 0.08, subproblem = 1, timelimit = 105
r103C10: 2, 2206.12, 2206.12, 0.32, subproblem = 1, timelimit = 105
c104C10: 2, 2273.93, 2273.93, 0.17, subproblem = 1, timelimit = 105
r203C10: 1, 1218.21, 1218.21, 0.10, subproblem = 1, timelimit = 105
c106C15: 3, 3275.13, 3275.13, 0.29, subproblem = 1, timelimit = 105
r102C15: 5, 5419.48, 5419.48, 4.03, subproblem = 1, timelimit = 105
rc103C15: 4, 4397.67, 4397.67, 0.11, subproblem = 1, timelimit = 105
rc108C15: 3, 3370.25, 3370.25, 2.90, subproblem = 1, timelimit = 105
r105C15: 4, 4336.15, 4336.15, 0.27, subproblem = 1, timelimit = 105
rc202C15: 2, 2394.39, 2394.39, 0.25, subproblem = 1, timelimit = 105
c103C15: 3, 3366.81, 3373.67, 12.59, subproblem = 1, timelimit = 105
c202C15: 2, 2386.11, 2386.11, 10.42, subproblem = 1, timelimit = 105
c208C15: 2, 2300.55, 2300.55, 0.06, subproblem = 1, timelimit = 105
r202C15: 1, 1507.49, 1601.20, 54.53, subproblem = 1, timelimit = 105
r209C15: 1, 1313.24, 1313.24, 2.25, subproblem = 1, timelimit = 105
rc204C15: 1, 1384.32, 1384.59, 26.00, subproblem = 1, timelimit = 105
c101_21: 12, 13052.22, 13053.61, 57.04, subproblem = 1, timelimit = 630
c107_21: 11, 12016.65, 12161.23, 151.21, subproblem = 1, timelimit = 630
c106_21: 11, 12019.09, 12631.19, 136.88, subproblem = 1, timelimit = 630
c201_21: 4, 4629.95, 4629.95, 82.06, subproblem = 1, timelimit = 630
c105_21: 11, 12036.61, 12642.07, 134.95, subproblem = 1, timelimit = 630
c102_21: 11, 12044.77, 12931.12, 159.61, subproblem = 1, timelimit = 630
c103_21: 10, 10954.52, 11691.54, 254.51, subproblem = 1, timelimit = 630
