Details of the solution:
route 0, node_num 8, cost 1891.778000, nodes: 0(120000.00, 120000.00) 1011(68610.00, 83737.00) 754 647 53 564 207 0(0.00, 0.00)
route 1, node_num 8, cost 1870.162000, nodes: 0(120000.00, 120000.00) 251 812 6 141 125 1025(10544.00, 24127.00) 0(0.00, 0.00)
route 2, node_num 7, cost 1232.630000, nodes: 0(120000.00, 120000.00) 728 904 313 976 990 0(31955.00, 31955.00)
route 3, node_num 8, cost 1912.932000, nodes: 0(120000.00, 120000.00) 597 687 815 495 1039(36744.00, 53382.00) 517 0(0.00, 0.00)
route 4, node_num 7, cost 1081.360000, nodes: 0(120000.00, 120000.00) 189 292 915 785 877 0(42760.00, 42760.00)
route 5, node_num 5, cost 892.822000, nodes: 0(120000.00, 120000.00) 825 163 20 0(56227.00, 56227.00)
route 6, node_num 5, cost 707.770000, nodes: 0(120000.00, 120000.00) 621 982 312 0(69445.00, 69445.00)
route 7, node_num 7, cost 1391.110000, nodes: 0(120000.00, 120000.00) 829 897 919 571 267 0(20635.00, 20635.00)
route 8, node_num 7, cost 1646.176000, nodes: 0(120000.00, 120000.00) 672 863 793 644 635 0(2416.00, 2416.00)
route 9, node_num 7, cost 1564.444000, nodes: 0(120000.00, 120000.00) 300 610 836 851 989 0(8254.00, 8254.00)
route 10, node_num 8, cost 747.908000, nodes: 0(120000.00, 120000.00) 389 120 750 62 699 927 0(66578.00, 66578.00)
route 11, node_num 6, cost 861.168000, nodes: 0(120000.00, 120000.00) 794 87 197 4 0(58488.00, 58488.00)
route 12, node_num 8, cost 1755.404000, nodes: 0(120000.00, 120000.00) 710 240 759 302 928 1096(20099.00, 25485.00) 0(0.00, 0.00)
route 13, node_num 7, cost 1498.280000, nodes: 0(120000.00, 120000.00) 834 667 128 848 205 0(12980.00, 12980.00)
route 14, node_num 7, cost 1631.042000, nodes: 0(120000.00, 120000.00) 442 937 8 144 560 0(3497.00, 3497.00)
route 15, node_num 7, cost 1548.680000, nodes: 0(120000.00, 120000.00) 142 729 324 520 435 0(9380.00, 9380.00)
route 16, node_num 6, cost 1200.528000, nodes: 0(120000.00, 120000.00) 446 522 746 988 0(34248.00, 34248.00)
route 17, node_num 5, cost 574.602000, nodes: 0(120000.00, 120000.00) 391 706 878 0(78957.00, 78957.00)
route 18, node_num 6, cost 813.288000, nodes: 0(120000.00, 120000.00) 261 675 73 997 0(61908.00, 61908.00)
route 19, node_num 8, cost 941.192000, nodes: 0(120000.00, 120000.00) 322 101 704 561 232 767 0(52772.00, 52772.00)
route 20, node_num 9, cost 1690.346000, nodes: 0(120000.00, 120000.00) 368 303 769 269 640 766 1012(45549.00, 46288.00) 0(0.00, 0.00)
route 21, node_num 5, cost 838.656000, nodes: 0(120000.00, 120000.00) 757 453 575 0(60096.00, 60096.00)
route 22, node_num 8, cost 1038.884000, nodes: 0(120000.00, 120000.00) 565 748 274 986 723 352 0(45794.00, 45794.00)
route 23, node_num 8, cost 730.422000, nodes: 0(120000.00, 120000.00) 201 735 74 106 134 837 0(67827.00, 67827.00)
route 24, node_num 7, cost 1622.894000, nodes: 0(120000.00, 120000.00) 14 260 436 518 384 0(4079.00, 4079.00)
route 25, node_num 6, cost 1382.164000, nodes: 0(120000.00, 120000.00) 839 874 913 68 0(21274.00, 21274.00)
route 26, node_num 5, cost 489.748000, nodes: 0(120000.00, 120000.00) 529 270 249 0(85018.00, 85018.00)
route 27, node_num 6, cost 692.104000, nodes: 0(120000.00, 120000.00) 736 501 258 164 0(70564.00, 70564.00)
route 28, node_num 4, cost 519.092000, nodes: 0(120000.00, 120000.00) 826 939 0(82922.00, 82922.00)
route 29, node_num 8, cost 1782.900000, nodes: 0(120000.00, 120000.00) 378 985 922 281 65 1096(18135.00, 25485.00) 0(0.00, 0.00)
route 30, node_num 7, cost 730.646000, nodes: 0(120000.00, 120000.00) 995 873 929 835 519 0(67811.00, 67811.00)
route 31, node_num 7, cost 1410.444000, nodes: 0(120000.00, 120000.00) 549 309 421 424 228 0(19254.00, 19254.00)
route 32, node_num 7, cost 889.070000, nodes: 0(120000.00, 120000.00) 950 907 701 119 536 0(56495.00, 56495.00)
route 33, node_num 7, cost 728.868000, nodes: 0(120000.00, 120000.00) 311 400 751 181 888 0(67938.00, 67938.00)
route 34, node_num 8, cost 1529.066000, nodes: 0(120000.00, 120000.00) 185 104 194 697 319 543 0(10781.00, 10781.00)
route 35, node_num 7, cost 1397.186000, nodes: 0(120000.00, 120000.00) 606 19 715 857 906 0(20201.00, 20201.00)
route 36, node_num 5, cost 222.278000, nodes: 0(120000.00, 120000.00) 46 650 333 0(104123.00, 104123.00)
route 37, node_num 7, cost 1547.994000, nodes: 0(120000.00, 120000.00) 613 605 705 64 354 0(9429.00, 9429.00)
route 38, node_num 7, cost 930.020000, nodes: 0(120000.00, 120000.00) 898 656 680 652 991 0(53570.00, 53570.00)
route 39, node_num 8, cost 1718.024000, nodes: 0(120000.00, 120000.00) 924 159 740 1098(55167.00, 57883.00) 951 23 0(0.00, 0.00)
route 40, node_num 7, cost 1465.856000, nodes: 0(120000.00, 120000.00) 643 116 461 49 143 0(15296.00, 15296.00)
route 41, node_num 5, cost 613.256000, nodes: 0(120000.00, 120000.00) 810 727 490 0(76196.00, 76196.00)
route 42, node_num 8, cost 1010.086000, nodes: 0(120000.00, 120000.00) 731 804 802 297 137 900 0(47851.00, 47851.00)
route 43, node_num 6, cost 1596.588000, nodes: 0(120000.00, 120000.00) 533 631 405 404 0(5958.00, 5958.00)
route 44, node_num 6, cost 1510.586000, nodes: 0(120000.00, 120000.00) 946 945 440 553 0(12101.00, 12101.00)
route 45, node_num 6, cost 369.376000, nodes: 0(120000.00, 120000.00) 942 558 525 500 0(93616.00, 93616.00)
route 46, node_num 8, cost 1647.492000, nodes: 0(120000.00, 120000.00) 388 307 466 455 617 996 0(2322.00, 2322.00)
route 47, node_num 7, cost 406.056000, nodes: 0(120000.00, 120000.00) 663 853 909 485 124 0(90996.00, 90996.00)
route 48, node_num 8, cost 975.422000, nodes: 0(120000.00, 120000.00) 492 775 345 831 934 340 0(50327.00, 50327.00)
route 49, node_num 7, cost 930.314000, nodes: 0(120000.00, 120000.00) 896 932 350 342 216 0(53549.00, 53549.00)
route 50, node_num 6, cost 722.456000, nodes: 0(120000.00, 120000.00) 146 182 955 449 0(68396.00, 68396.00)
route 51, node_num 6, cost 1775.592000, nodes: 0(120000.00, 120000.00) 1039(67416.00, 74244.00) 695 213 316 0(0.00, 0.00)
route 52, node_num 7, cost 851.018000, nodes: 0(120000.00, 120000.00) 250 622 665 978 188 0(59213.00, 59213.00)
route 53, node_num 8, cost 1831.466000, nodes: 0(120000.00, 120000.00) 351 783 852 1077(45664.00, 56483.00) 498 241 0(0.00, 0.00)
route 54, node_num 5, cost 598.626000, nodes: 0(120000.00, 120000.00) 357 960 293 0(77241.00, 77241.00)
route 55, node_num 7, cost 870.254000, nodes: 0(120000.00, 120000.00) 765 438 337 130 510 0(57839.00, 57839.00)
route 56, node_num 8, cost 1611.050000, nodes: 0(120000.00, 120000.00) 1012(72845.00, 72845.00) 88 129 626 112 864 0(4925.00, 4925.00)
