Details of the solution:
route 0, node_num 7, cost 1038.870000, nodes: 0(120000.00, 120000.00) 360 657 103 866 36 0(45795.00, 45795.00)
route 1, node_num 8, cost 1334.760000, nodes: 0(120000.00, 120000.00) 135 375 897 919 571 934 0(24660.00, 24660.00)
route 2, node_num 8, cost 1777.650000, nodes: 0(120000.00, 120000.00) 1060(66386.00, 98386.00) 597 213 793 495 452 0(25025.00, 25025.00)
route 3, node_num 8, cost 1790.978000, nodes: 0(120000.00, 120000.00) 378 985 922 53 125 1025(16200.00, 24127.00) 0(0.00, 0.00)
route 4, node_num 6, cost 926.086000, nodes: 0(120000.00, 120000.00) 311 915 966 130 0(53851.00, 53851.00)
route 5, node_num 7, cost 1554.224000, nodes: 0(120000.00, 120000.00) 752 377 387 773 527 0(8984.00, 8984.00)
route 6, node_num 9, cost 1689.912000, nodes: 0(120000.00, 120000.00) 380 113 200 3 626 1000 1004(38452.00, 39160.00) 0(0.00, 0.00)
route 7, node_num 9, cost 950.264000, nodes: 0(120000.00, 120000.00) 563 41 191 324 216 232 181 0(52124.00, 52124.00)
route 8, node_num 7, cost 1075.774000, nodes: 0(120000.00, 120000.00) 460 19 628 30 193 0(43159.00, 43159.00)
route 9, node_num 8, cost 502.488000, nodes: 0(120000.00, 120000.00) 555 633 771 470 550 782 0(84108.00, 84108.00)
route 10, node_num 6, cost 573.300000, nodes: 0(120000.00, 120000.00) 529 270 52 936 0(79050.00, 79050.00)
route 11, node_num 4, cost 277.592000, nodes: 0(120000.00, 120000.00) 910 554 0(100172.00, 100172.00)
route 12, node_num 6, cost 331.030000, nodes: 0(120000.00, 120000.00) 46 810 865 2 0(96355.00, 96355.00)
route 13, node_num 8, cost 1028.062000, nodes: 0(120000.00, 120000.00) 150 673 952 943 755 164 0(46567.00, 46567.00)
route 14, node_num 5, cost 1310.344000, nodes: 0(120000.00, 120000.00) 998 821 370 0(26404.00, 26404.00)
route 15, node_num 6, cost 1311.772000, nodes: 0(120000.00, 120000.00) 383 772 675 177 0(26302.00, 26302.00)
route 16, node_num 7, cost 1600.046000, nodes: 0(120000.00, 120000.00) 693 836 851 938 252 0(5711.00, 5711.00)
route 17, node_num 8, cost 1888.516000, nodes: 0(120000.00, 120000.00) 1012(72845.00, 87739.00) 586 811 414 598 72 0(0.00, 0.00)
route 18, node_num 7, cost 1814.358000, nodes: 0(120000.00, 120000.00) 1039(67416.00, 77013.00) 695 623 141 207 0(0.00, 0.00)
route 19, node_num 8, cost 851.172000, nodes: 0(120000.00, 120000.00) 373 250 438 101 879 448 0(59202.00, 59202.00)
route 20, node_num 7, cost 1607.312000, nodes: 0(120000.00, 120000.00) 533 631 385 264 384 0(5192.00, 5192.00)
route 21, node_num 8, cost 1777.888000, nodes: 0(120000.00, 120000.00) 351 618 6 107 1090(48283.00, 55275.00) 308 0(0.00, 0.00)
route 22, node_num 8, cost 1744.778000, nodes: 0(120000.00, 120000.00) 1033(74341.00, 78968.00) 829 392 815 617 413 0(0.00, 0.00)
route 23, node_num 7, cost 768.138000, nodes: 0(120000.00, 120000.00) 89 283 21 256 37 0(65133.00, 65133.00)
route 24, node_num 7, cost 1654.212000, nodes: 0(120000.00, 120000.00) 14 740 159 49 143 0(1842.00, 1842.00)
route 25, node_num 9, cost 790.930000, nodes: 0(120000.00, 120000.00) 641 599 386 26 95 91 616 0(63505.00, 63505.00)
route 26, node_num 8, cost 2029.258000, nodes: 0(120000.00, 120000.00) 754 647 921 858 987 1096(538.00, 25485.00) 0(0.00, 0.00)
route 27, node_num 6, cost 1028.496000, nodes: 0(120000.00, 120000.00) 189 292 948 444 0(46536.00, 46536.00)
route 28, node_num 8, cost 1765.120000, nodes: 0(120000.00, 120000.00) 1060(66386.00, 72466.00) 687 783 319 424 290 0(0.00, 0.00)
route 29, node_num 6, cost 736.022000, nodes: 0(120000.00, 120000.00) 430 700 73 997 0(67427.00, 67427.00)
route 30, node_num 9, cost 1753.696000, nodes: 0(120000.00, 120000.00) 401 738 29 564 644 718 1096(20221.00, 25485.00) 0(0.00, 0.00)
route 31, node_num 7, cost 1381.730000, nodes: 0(120000.00, 120000.00) 450 581 694 604 730 0(21305.00, 21305.00)
route 32, node_num 7, cost 729.932000, nodes: 0(120000.00, 120000.00) 817 551 298 338 459 0(67862.00, 67862.00)
route 33, node_num 7, cost 704.452000, nodes: 0(120000.00, 120000.00) 838 71 258 426 832 0(69682.00, 69682.00)
route 34, node_num 5, cost 1126.790000, nodes: 0(120000.00, 120000.00) 691 862 379 0(39515.00, 39515.00)
route 35, node_num 8, cost 1227.002000, nodes: 0(120000.00, 120000.00) 57 588 301 275 763 476 0(32357.00, 32357.00)
route 36, node_num 6, cost 670.418000, nodes: 0(120000.00, 120000.00) 780 480 211 396 0(72113.00, 72113.00)
route 37, node_num 7, cost 1631.462000, nodes: 0(120000.00, 120000.00) 606 140 334 43 145 0(3467.00, 3467.00)
route 38, node_num 4, cost 293.398000, nodes: 0(120000.00, 120000.00) 222 822 0(99043.00, 99043.00)
route 39, node_num 8, cost 659.428000, nodes: 0(120000.00, 120000.00) 131 486 970 180 511 918 0(72898.00, 72898.00)
route 40, node_num 8, cost 1550.136000, nodes: 0(120000.00, 120000.00) 846 165 478 463 467 172 0(9276.00, 9276.00)
route 41, node_num 6, cost 698.852000, nodes: 0(120000.00, 120000.00) 158 314 532 11 0(70082.00, 70082.00)
route 42, node_num 6, cost 806.596000, nodes: 0(120000.00, 120000.00) 201 465 701 449 0(62386.00, 62386.00)
route 43, node_num 6, cost 1330.294000, nodes: 0(120000.00, 120000.00) 149 266 507 577 0(24979.00, 24979.00)
route 44, node_num 8, cost 673.596000, nodes: 0(120000.00, 120000.00) 235 842 885 74 134 837 0(71886.00, 71886.00)
route 45, node_num 8, cost 1051.246000, nodes: 0(120000.00, 120000.00) 259 538 802 42 274 288 0(44911.00, 44911.00)
route 46, node_num 8, cost 1313.998000, nodes: 0(120000.00, 120000.00) 542 688 562 580 505 816 0(26143.00, 26143.00)
route 47, node_num 6, cost 889.672000, nodes: 0(120000.00, 120000.00) 492 350 330 318 0(56452.00, 56452.00)
route 48, node_num 5, cost 246.764000, nodes: 0(120000.00, 120000.00) 935 265 372 0(102374.00, 102374.00)
route 49, node_num 9, cost 1658.076000, nodes: 0(120000.00, 120000.00) 632 787 99 911 646 509 1040(24181.00, 24181.00) 0(1566.00, 1566.00)
route 50, node_num 9, cost 1052.338000, nodes: 0(120000.00, 120000.00) 764 524 335 587 451 805 109 0(44833.00, 44833.00)
route 51, node_num 7, cost 544.110000, nodes: 0(120000.00, 120000.00) 481 566 690 956 840 0(81135.00, 81135.00)
route 52, node_num 7, cost 1528.478000, nodes: 0(120000.00, 120000.00) 277 937 951 560 462 0(10823.00, 10823.00)
route 53, node_num 7, cost 702.520000, nodes: 0(120000.00, 120000.00) 344 749 659 883 341 0(69820.00, 69820.00)
route 54, node_num 7, cost 707.070000, nodes: 0(120000.00, 120000.00) 489 320 291 920 724 0(69495.00, 69495.00)
route 55, node_num 7, cost 922.348000, nodes: 0(120000.00, 120000.00) 825 163 343 7 830 0(54118.00, 54118.00)
route 56, node_num 7, cost 1116.108000, nodes: 0(120000.00, 120000.00) 278 522 746 38 791 0(40278.00, 40278.00)
route 57, node_num 7, cost 1329.384000, nodes: 0(120000.00, 120000.00) 917 601 332 171 880 0(25044.00, 25044.00)
route 58, node_num 7, cost 542.612000, nodes: 0(120000.00, 120000.00) 376 214 411 652 417 0(81242.00, 81242.00)
route 59, node_num 7, cost 1434.230000, nodes: 0(120000.00, 120000.00) 127 251 348 925 871 0(17555.00, 17555.00)
route 60, node_num 5, cost 1423.044000, nodes: 0(120000.00, 120000.00) 684 639 889 0(18354.00, 18354.00)
route 61, node_num 7, cost 1677.298000, nodes: 0(120000.00, 120000.00) 1012(72845.00, 72845.00) 473 260 856 518 0(193.00, 193.00)
route 62, node_num 7, cost 1020.348000, nodes: 0(120000.00, 120000.00) 983 406 689 178 198 0(47118.00, 47118.00)
route 63, node_num 7, cost 903.854000, nodes: 0(120000.00, 120000.00) 868 574 221 681 215 0(55439.00, 55439.00)
route 64, node_num 8, cost 671.986000, nodes: 0(120000.00, 120000.00) 86 34 209 136 246 670 0(72001.00, 72001.00)
route 65, node_num 8, cost 1205.442000, nodes: 0(120000.00, 120000.00) 244 714 666 67 60 654 0(33897.00, 33897.00)
route 66, node_num 8, cost 1277.710000, nodes: 0(120000.00, 120000.00) 496 197 638 65 13 381 0(28735.00, 28735.00)
route 67, node_num 8, cost 428.708000, nodes: 0(120000.00, 120000.00) 942 279 909 634 500 981 0(89378.00, 89378.00)
route 68, node_num 8, cost 1546.832000, nodes: 0(120000.00, 120000.00) 674 521 945 499 498 237 0(9512.00, 9512.00)
route 69, node_num 6, cost 730.002000, nodes: 0(120000.00, 120000.00) 173 217 169 940 0(67857.00, 67857.00)
route 70, node_num 6, cost 878.682000, nodes: 0(120000.00, 120000.00) 953 892 25 454 0(57237.00, 57237.00)
route 71, node_num 9, cost 1762.222000, nodes: 0(120000.00, 120000.00) 472 769 766 269 640 709 1012(40415.00, 46288.00) 0(0.00, 0.00)
route 72, node_num 6, cost 1108.198000, nodes: 0(120000.00, 120000.00) 231 923 415 762 0(40843.00, 40843.00)
route 73, node_num 6, cost 1244.824000, nodes: 0(120000.00, 120000.00) 685 110 637 105 0(31084.00, 31084.00)
route 74, node_num 5, cost 632.282000, nodes: 0(120000.00, 120000.00) 886 147 859 0(74837.00, 74837.00)
route 75, node_num 6, cost 751.058000, nodes: 0(120000.00, 120000.00) 765 955 751 888 0(66353.00, 66353.00)
route 76, node_num 6, cost 732.886000, nodes: 0(120000.00, 120000.00) 502 916 656 395 0(67651.00, 67651.00)
route 77, node_num 8, cost 1028.524000, nodes: 0(120000.00, 120000.00) 280 958 806 287 552 827 0(46534.00, 46534.00)
route 78, node_num 6, cost 696.136000, nodes: 0(120000.00, 120000.00) 512 546 607 403 0(70276.00, 70276.00)
route 79, node_num 8, cost 1356.194000, nodes: 0(120000.00, 120000.00) 963 15 218 745 457 959 0(23129.00, 23129.00)
route 80, node_num 8, cost 1463.056000, nodes: 0(120000.00, 120000.00) 592 429 224 302 869 635 0(15496.00, 15496.00)
route 81, node_num 6, cost 1429.218000, nodes: 0(120000.00, 120000.00) 549 421 537 603 0(17913.00, 17913.00)
route 82, node_num 8, cost 1268.442000, nodes: 0(120000.00, 120000.00) 905 602 227 437 78 241 0(29397.00, 29397.00)
route 83, node_num 5, cost 944.328000, nodes: 0(120000.00, 120000.00) 255 547 68 0(52548.00, 52548.00)
route 84, node_num 6, cost 1414.476000, nodes: 0(120000.00, 120000.00) 933 643 957 877 0(18966.00, 18966.00)
route 85, node_num 6, cost 480.648000, nodes: 0(120000.00, 120000.00) 514 44 777 878 0(85668.00, 85668.00)
route 86, node_num 8, cost 850.388000, nodes: 0(120000.00, 120000.00) 621 982 609 662 954 419 0(59258.00, 59258.00)
route 87, node_num 6, cost 361.746000, nodes: 0(120000.00, 120000.00) 431 484 776 784 0(94161.00, 94161.00)
route 88, node_num 6, cost 1320.270000, nodes: 0(120000.00, 120000.00) 225 98 585 747 0(25695.00, 25695.00)
route 89, node_num 6, cost 809.354000, nodes: 0(120000.00, 120000.00) 497 120 750 293 0(62189.00, 62189.00)
route 90, node_num 6, cost 411.082000, nodes: 0(120000.00, 120000.00) 994 984 94 813 0(90637.00, 90637.00)
route 91, node_num 5, cost 242.060000, nodes: 0(120000.00, 120000.00) 179 325 914 0(102710.00, 102710.00)
route 92, node_num 8, cost 1127.714000, nodes: 0(120000.00, 120000.00) 677 175 890 483 506 590 0(39449.00, 39449.00)
route 93, node_num 7, cost 1356.222000, nodes: 0(120000.00, 120000.00) 192 236 466 928 534 0(23127.00, 23127.00)
route 94, node_num 7, cost 1267.462000, nodes: 0(120000.00, 120000.00) 468 441 971 523 340 0(29467.00, 29467.00)
route 95, node_num 7, cost 1183.308000, nodes: 0(120000.00, 120000.00) 728 446 296 228 329 0(35478.00, 35478.00)
route 96, node_num 7, cost 721.448000, nodes: 0(120000.00, 120000.00) 682 742 733 539 575 0(68468.00, 68468.00)
route 97, node_num 7, cost 1071.672000, nodes: 0(120000.00, 120000.00) 212 273 27 781 572 0(43452.00, 43452.00)
route 98, node_num 7, cost 834.512000, nodes: 0(120000.00, 120000.00) 366 412 593 170 254 0(60392.00, 60392.00)
route 99, node_num 7, cost 607.754000, nodes: 0(120000.00, 120000.00) 230 558 525 124 226 0(76589.00, 76589.00)
route 100, node_num 6, cost 988.316000, nodes: 0(120000.00, 120000.00) 611 59 345 490 0(49406.00, 49406.00)
route 101, node_num 7, cost 1498.280000, nodes: 0(120000.00, 120000.00) 834 667 128 848 205 0(12980.00, 12980.00)
route 102, node_num 7, cost 1234.464000, nodes: 0(120000.00, 120000.00) 304 461 243 655 404 0(31824.00, 31824.00)
route 103, node_num 7, cost 1297.086000, nodes: 0(120000.00, 120000.00) 660 56 850 576 474 0(27351.00, 27351.00)
route 104, node_num 7, cost 1256.416000, nodes: 0(120000.00, 120000.00) 148 138 271 353 744 0(30256.00, 30256.00)
route 105, node_num 5, cost 851.004000, nodes: 0(120000.00, 120000.00) 896 932 342 0(59214.00, 59214.00)
route 106, node_num 7, cost 761.488000, nodes: 0(120000.00, 120000.00) 391 706 447 121 800 0(65608.00, 65608.00)
route 107, node_num 8, cost 1543.164000, nodes: 0(120000.00, 120000.00) 1012(72845.00, 72845.00) 88 129 405 579 371 0(9774.00, 9774.00)
route 108, node_num 7, cost 1331.330000, nodes: 0(120000.00, 120000.00) 717 31 649 16 234 0(24905.00, 24905.00)
route 109, node_num 8, cost 597.268000, nodes: 0(120000.00, 120000.00) 630 272 482 692 239 111 0(77338.00, 77338.00)
route 110, node_num 7, cost 1506.652000, nodes: 0(120000.00, 120000.00) 535 610 884 828 875 0(12382.00, 12382.00)
route 111, node_num 7, cost 817.110000, nodes: 0(120000.00, 120000.00) 669 950 727 789 636 0(61635.00, 61635.00)
route 112, node_num 7, cost 985.656000, nodes: 0(120000.00, 120000.00) 949 531 33 553 54 0(49596.00, 49596.00)
route 113, node_num 7, cost 1180.844000, nodes: 0(120000.00, 120000.00) 993 45 174 354 420 0(35654.00, 35654.00)
route 114, node_num 7, cost 694.358000, nodes: 0(120000.00, 120000.00) 167 726 220 458 118 0(70403.00, 70403.00)
route 115, node_num 7, cost 1123.458000, nodes: 0(120000.00, 120000.00) 70 162 347 708 758 0(39753.00, 39753.00)
route 116, node_num 7, cost 1515.430000, nodes: 0(120000.00, 120000.00) 839 874 913 112 864 0(11755.00, 11755.00)
route 117, node_num 7, cost 1361.878000, nodes: 0(120000.00, 120000.00) 285 814 364 965 276 0(22723.00, 22723.00)
route 118, node_num 5, cost 648.102000, nodes: 0(120000.00, 120000.00) 734 122 39 0(73707.00, 73707.00)
route 119, node_num 8, cost 1599.780000, nodes: 0(120000.00, 120000.00) 812 309 493 439 614 471 0(5730.00, 5730.00)
route 120, node_num 7, cost 830.438000, nodes: 0(120000.00, 120000.00) 847 680 818 47 485 0(60683.00, 60683.00)
route 121, node_num 7, cost 705.572000, nodes: 0(120000.00, 120000.00) 540 501 929 835 519 0(69602.00, 69602.00)
route 122, node_num 7, cost 1022.056000, nodes: 0(120000.00, 120000.00) 504 176 795 785 760 0(46996.00, 46996.00)
route 123, node_num 7, cost 1359.918000, nodes: 0(120000.00, 120000.00) 516 930 786 583 369 0(22863.00, 22863.00)
route 124, node_num 7, cost 832.160000, nodes: 0(120000.00, 120000.00) 903 83 35 980 788 0(60560.00, 60560.00)
route 125, node_num 7, cost 1555.498000, nodes: 0(120000.00, 120000.00) 9 104 61 151 202 0(8893.00, 8893.00)
route 126, node_num 8, cost 818.916000, nodes: 0(120000.00, 120000.00) 289 622 665 491 106 428 0(61506.00, 61506.00)
route 127, node_num 8, cost 1269.352000, nodes: 0(120000.00, 120000.00) 798 860 887 24 756 294 0(29332.00, 29332.00)
route 128, node_num 7, cost 1349.684000, nodes: 0(120000.00, 120000.00) 434 895 748 114 989 0(23594.00, 23594.00)
route 129, node_num 8, cost 1193.150000, nodes: 0(120000.00, 120000.00) 187 196 931 55 393 906 0(34775.00, 34775.00)
route 130, node_num 6, cost 1368.388000, nodes: 0(120000.00, 120000.00) 261 477 82 316 0(22258.00, 22258.00)
route 131, node_num 7, cost 887.194000, nodes: 0(120000.00, 120000.00) 263 796 600 624 494 0(56629.00, 56629.00)
route 132, node_num 6, cost 1049.006000, nodes: 0(120000.00, 120000.00) 77 891 407 155 0(45071.00, 45071.00)
route 133, node_num 8, cost 743.176000, nodes: 0(120000.00, 120000.00) 995 388 873 792 425 720 0(66916.00, 66916.00)
route 134, node_num 7, cost 917.686000, nodes: 0(120000.00, 120000.00) 594 804 899 297 382 0(54451.00, 54451.00)
route 135, node_num 7, cost 891.198000, nodes: 0(120000.00, 120000.00) 615 416 337 578 510 0(56343.00, 56343.00)
route 136, node_num 7, cost 1343.888000, nodes: 0(120000.00, 120000.00) 475 108 721 456 619 0(24008.00, 24008.00)
route 137, node_num 7, cost 1015.728000, nodes: 0(120000.00, 120000.00) 233 262 17 819 969 0(47448.00, 47448.00)
route 138, node_num 7, cost 1605.618000, nodes: 0(120000.00, 120000.00) 257 653 926 253 901 0(5313.00, 5313.00)
route 139, node_num 5, cost 1189.790000, nodes: 0(120000.00, 120000.00) 306 629 807 0(35015.00, 35015.00)
route 140, node_num 7, cost 787.346000, nodes: 0(120000.00, 120000.00) 229 570 87 843 469 0(63761.00, 63761.00)
route 141, node_num 8, cost 889.238000, nodes: 0(120000.00, 120000.00) 409 81 711 327 133 435 0(56483.00, 56483.00)
route 142, node_num 8, cost 991.732000, nodes: 0(120000.00, 120000.00) 400 365 541 115 704 80 0(49162.00, 49162.00)
route 143, node_num 7, cost 1018.444000, nodes: 0(120000.00, 120000.00) 322 775 831 12 443 0(47254.00, 47254.00)
route 144, node_num 7, cost 1331.442000, nodes: 0(120000.00, 120000.00) 190 770 947 648 186 0(24897.00, 24897.00)
route 145, node_num 7, cost 1420.972000, nodes: 0(120000.00, 120000.00) 368 8 97 116 219 0(18502.00, 18502.00)
route 146, node_num 7, cost 1112.272000, nodes: 0(120000.00, 120000.00) 794 676 313 976 990 0(40552.00, 40552.00)
route 147, node_num 7, cost 565.194000, nodes: 0(120000.00, 120000.00) 479 355 312 737 349 0(79629.00, 79629.00)
route 148, node_num 7, cost 1593.214000, nodes: 0(120000.00, 120000.00) 363 247 671 144 867 0(6199.00, 6199.00)
route 149, node_num 8, cost 1416.842000, nodes: 0(120000.00, 120000.00) 361 530 870 967 961 732 0(18797.00, 18797.00)
route 150, node_num 6, cost 496.356000, nodes: 0(120000.00, 120000.00) 362 627 488 336 0(84546.00, 84546.00)
route 151, node_num 5, cost 135.548000, nodes: 0(120000.00, 120000.00) 242 650 333 0(110318.00, 110318.00)
route 152, node_num 5, cost 848.008000, nodes: 0(120000.00, 120000.00) 801 299 20 0(59428.00, 59428.00)
route 153, node_num 9, cost 709.464000, nodes: 0(120000.00, 120000.00) 132 204 427 683 882 960 823 0(69324.00, 69324.00)
route 154, node_num 7, cost 1666.112000, nodes: 0(120000.00, 120000.00) 166 705 194 595 123 0(992.00, 992.00)
route 155, node_num 6, cost 664.846000, nodes: 0(120000.00, 120000.00) 199 513 844 282 0(72511.00, 72511.00)
route 156, node_num 8, cost 642.936000, nodes: 0(120000.00, 120000.00) 826 249 568 855 331 753 0(74076.00, 74076.00)
route 157, node_num 9, cost 1688.456000, nodes: 0(120000.00, 120000.00) 710 339 672 455 281 996 1089(39583.00, 40187.00) 0(0.00, 0.00)
route 158, node_num 7, cost 1524.488000, nodes: 0(120000.00, 120000.00) 408 612 440 66 323 0(11108.00, 11108.00)
route 159, node_num 7, cost 1293.250000, nodes: 0(120000.00, 120000.00) 51 63 92 206 900 0(27625.00, 27625.00)
route 160, node_num 6, cost 869.862000, nodes: 0(120000.00, 120000.00) 157 725 503 988 0(57867.00, 57867.00)
