Details of the solution:
route 0, node_num 7, cost 1703.366000, nodes: 0(120000.00, 120000.00) 738 128 126 560 875(15856.00, 17525.00) 0(0.00, 0.00)
route 1, node_num 7, cost 1294.132000, nodes: 0(120000.00, 120000.00) 676 210 364 78 241 0(27562.00, 27562.00)
route 2, node_num 7, cost 1320.130000, nodes: 0(120000.00, 120000.00) 285 251 602 227 791 0(25705.00, 25705.00)
route 3, node_num 6, cost 610.148000, nodes: 0(120000.00, 120000.00) 568 540 258 282 0(76418.00, 76418.00)
route 4, node_num 8, cost 1614.298000, nodes: 0(120000.00, 120000.00) 363 247 671 112 853(46773.00, 46773.00) 457 0(4693.00, 4693.00)
route 5, node_num 7, cost 1015.812000, nodes: 0(120000.00, 120000.00) 677 175 450 16 290 0(47442.00, 47442.00)
route 6, node_num 7, cost 514.528000, nodes: 0(120000.00, 120000.00) 321 554 52 690 464 0(83248.00, 83248.00)
route 7, node_num 8, cost 647.318000, nodes: 0(120000.00, 120000.00) 229 131 557 180 511 753 0(73763.00, 73763.00)
route 8, node_num 9, cost 538.216000, nodes: 0(120000.00, 120000.00) 479 280 411 800 652 550 782 0(81556.00, 81556.00)
route 9, node_num 6, cost 1396.038000, nodes: 0(120000.00, 120000.00) 10 774 506 590 0(20283.00, 20283.00)
route 10, node_num 8, cost 980.294000, nodes: 0(120000.00, 120000.00) 757 453 689 178 579 371 0(49979.00, 49979.00)
route 11, node_num 8, cost 1966.076000, nodes: 0(120000.00, 120000.00) 842(58613.00, 79047.00) 695 783 6 141 308 0(0.00, 0.00)
route 12, node_num 9, cost 1706.418000, nodes: 0(120000.00, 120000.00) 497 466 729 302 644 718 896(23598.00, 25485.00) 0(0.00, 0.00)
route 13, node_num 8, cost 736.988000, nodes: 0(120000.00, 120000.00) 158 532 427 683 425 50 0(67358.00, 67358.00)
route 14, node_num 8, cost 1906.632000, nodes: 0(120000.00, 120000.00) 586 870(48508.00, 64696.00) 260 414 598 72 0(0.00, 0.00)
route 15, node_num 5, cost 867.594000, nodes: 0(120000.00, 120000.00) 135 365 541 0(58029.00, 58029.00)
route 16, node_num 6, cost 1194.172000, nodes: 0(120000.00, 120000.00) 673 685 105 620 0(34702.00, 34702.00)
route 17, node_num 7, cost 1661.982000, nodes: 0(120000.00, 120000.00) 378 240 837(51070.00, 51070.00) 29 443 0(1287.00, 1287.00)
route 18, node_num 5, cost 376.474000, nodes: 0(120000.00, 120000.00) 776 86 417 0(93109.00, 93109.00)
route 19, node_num 5, cost 653.310000, nodes: 0(120000.00, 120000.00) 390 608 459 0(73335.00, 73335.00)
route 20, node_num 7, cost 1313.704000, nodes: 0(120000.00, 120000.00) 108 530 721 43 145 0(26164.00, 26164.00)
route 21, node_num 6, cost 1282.890000, nodes: 0(120000.00, 120000.00) 152 596 548 603 0(28365.00, 28365.00)
route 22, node_num 6, cost 1513.960000, nodes: 0(120000.00, 120000.00) 432 339 61 216 0(11860.00, 11860.00)
route 23, node_num 7, cost 1027.180000, nodes: 0(120000.00, 120000.00) 150 798 483 649 329 0(46630.00, 46630.00)
route 24, node_num 7, cost 675.738000, nodes: 0(120000.00, 120000.00) 376 764 668 707 238 0(71733.00, 71733.00)
route 25, node_num 5, cost 688.338000, nodes: 0(120000.00, 120000.00) 289 551 396 0(70833.00, 70833.00)
route 26, node_num 5, cost 1189.860000, nodes: 0(120000.00, 120000.00) 717 446 171 0(35010.00, 35010.00)
route 27, node_num 5, cost 664.748000, nodes: 0(120000.00, 120000.00) 734 39 147 0(72518.00, 72518.00)
route 28, node_num 8, cost 1094.436000, nodes: 0(120000.00, 120000.00) 187 27 781 569 232 703 0(41826.00, 41826.00)
route 29, node_num 6, cost 1418.704000, nodes: 0(120000.00, 120000.00) 489 538 653 114 0(18664.00, 18664.00)
route 30, node_num 7, cost 1154.944000, nodes: 0(120000.00, 120000.00) 412 110 637 62 720 0(37504.00, 37504.00)
route 31, node_num 6, cost 761.698000, nodes: 0(120000.00, 120000.00) 235 199 513 342 0(65593.00, 65593.00)
route 32, node_num 7, cost 1658.342000, nodes: 0(120000.00, 120000.00) 533 631 385 264 109 0(1547.00, 1547.00)
route 33, node_num 9, cost 962.262000, nodes: 0(120000.00, 120000.00) 89 406 433 797 451 410 642 0(51267.00, 51267.00)
route 34, node_num 9, cost 1702.540000, nodes: 0(120000.00, 120000.00) 549 421 493 387 595 471 810(30190.00, 31800.00) 0(0.00, 0.00)
route 35, node_num 8, cost 1682.562000, nodes: 0(120000.00, 120000.00) 140 518 712 646 509 840(22432.00, 22615.00) 0(0.00, 0.00)
route 36, node_num 7, cost 1525.664000, nodes: 0(120000.00, 120000.00) 658 127 377 319 534 0(11024.00, 11024.00)
route 37, node_num 7, cost 1011.836000, nodes: 0(120000.00, 120000.00) 594 84 445 297 419 0(47726.00, 47726.00)
route 38, node_num 7, cost 964.026000, nodes: 0(120000.00, 120000.00) 686 394 680 651 47 0(51141.00, 51141.00)
route 39, node_num 6, cost 1346.982000, nodes: 0(120000.00, 120000.00) 257 370 507 169 0(23787.00, 23787.00)
route 40, node_num 7, cost 1124.620000, nodes: 0(120000.00, 120000.00) 296 629 35 276 788 0(39670.00, 39670.00)
route 41, node_num 6, cost 695.870000, nodes: 0(120000.00, 120000.00) 736 501 727 490 0(70295.00, 70295.00)
route 42, node_num 6, cost 1523.368000, nodes: 0(120000.00, 120000.00) 660 587 22 616 0(11188.00, 11188.00)
route 43, node_num 8, cost 1392.272000, nodes: 0(120000.00, 120000.00) 383 700 392 73 564 207 0(20552.00, 20552.00)
route 44, node_num 8, cost 1030.442000, nodes: 0(120000.00, 120000.00) 504 176 347 547 68 343 0(46397.00, 46397.00)
