200_2: 46, 71075.99, 71965.57, 1801.42, subproblem = 1, timelimit = 1800
200_4: 49, 81696.93, 84613.90, 1802.73, subproblem = 1, timelimit = 1800
200_3: 46, 70656.63, 71918.09, 1803.03, subproblem = 1, timelimit = 1800
200_1: 48, 76125.24, 78311.24, 1803.16, subproblem = 1, timelimit = 1800
400_2: 93, 137495.23, 141242.66, 5404.31, subproblem = 1, timelimit = 5400
400_3: 85, 120888.17, 122891.09, 5405.72, subproblem = 1, timelimit = 5400
400_1: 95, 143045.76, 145872.43, 5406.09, subproblem = 1, timelimit = 5400
400_4: 90, 137863.84, 142086.80, 5406.27, subproblem = 1, timelimit = 5400
600_3: 123, 172977.87, 175893.80, 8887.64, subproblem = 1, timelimit = 9000
600_1: 139, 210722.03, 215743.58, 8988.48, subproblem = 1, timelimit = 9000
600_4: 129, 197929.76, 201306.90, 9008.28, subproblem = 1, timelimit = 9000
600_2: 139, 205943.56, 210498.81, 9008.39, subproblem = 1, timelimit = 9000
800_1: 178, 271098.99, 276999.84, 12557.60, subproblem = 1, timelimit = 12600
800_3: 166, 232052.94, 239688.51, 12611.89, subproblem = 1, timelimit = 12600
800_4: 172, 260642.67, 266243.72, 12610.64, subproblem = 1, timelimit = 12600
800_2: 181, 268047.17, 275025.17, 12607.02, subproblem = 1, timelimit = 12600
1000_2: 223, 335504.67, 351073.09, 16214.16, subproblem = 1, timelimit = 16200
1000_3: 207, 286785.82, 304623.25, 16218.22, subproblem = 1, timelimit = 16200
1000_1: 216, 327562.85, 345987.18, 16214.39, subproblem = 1, timelimit = 16200
1000_4: 209, 320782.78, 333245.22, 16221.33, subproblem = 1, timelimit = 16200
