c101C5: 2, 2257.75, 2263.10, 0.01, subproblem = 1, timelimit = 105
r105C5: 2, 2156.08, 2156.08, 0.00, subproblem = 1, timelimit = 105
rc105C5: 2, 2233.77, 2233.77, 0.03, subproblem = 1, timelimit = 105
c206C5: 1, 1242.56, 1242.56, 0.03, subproblem = 1, timelimit = 105
rc108C5: 2, 2253.93, 2253.93, 0.00, subproblem = 1, timelimit = 105
r104C5: 2, 2136.69, 2136.69, 0.01, subproblem = 1, timelimit = 105
c208C5: 1, 1158.48, 1158.48, 0.01, subproblem = 1, timelimit = 105
r202C5: 1, 1128.78, 1128.78, 0.01, subproblem = 1, timelimit = 105
r203C5: 1, 1179.06, 1179.06, 0.01, subproblem = 1, timelimit = 105
c103C5: 1, 1175.37, 1175.37, 0.02, subproblem = 1, timelimit = 105
rc208C5: 1, 1167.98, 1167.98, 0.02, subproblem = 1, timelimit = 105
rc204C5: 1, 1176.39, 1176.39, 0.16, subproblem = 1, timelimit = 105
rc102C10: 4, 4423.51, 4423.51, 0.03, subproblem = 1, timelimit = 105
c202C10: 1, 1304.06, 1304.06, 0.14, subproblem = 1, timelimit = 105
c205C10: 2, 2228.28, 2228.28, 0.02, subproblem = 1, timelimit = 105
c101C10: 3, 3388.25, 3388.25, 0.22, subproblem = 1, timelimit = 105
r102C10: 3, 3249.19, 3249.19, 0.14, subproblem = 1, timelimit = 105
r201C10: 1, 1241.51, 1241.51, 0.26, subproblem = 1, timelimit = 105
rc201C10: 1, 1412.86, 1412.86, 0.28, subproblem = 1, timelimit = 105
rc108C10: 3, 3345.93, 3345.93, 0.05, subproblem = 1, timelimit = 105
r103C10: 2, 2206.12, 2206.12, 2.21, subproblem = 1, timelimit = 105
r203C10: 1, 1218.21, 1218.21, 0.20, subproblem = 1, timelimit = 105
rc205C10: 2, 2325.98, 2325.98, 0.32, subproblem = 1, timelimit = 105
c104C10: 2, 2273.93, 2273.93, 0.36, subproblem = 1, timelimit = 105
r105C15: 4, 4336.15, 4336.15, 0.26, subproblem = 1, timelimit = 105
r102C15: 5, 5412.78, 5413.74, 1.42, subproblem = 1, timelimit = 105
c106C15: 3, 3275.13, 3280.29, 0.61, subproblem = 1, timelimit = 105
c208C15: 2, 2300.55, 2300.55, 0.24, subproblem = 1, timelimit = 105
rc108C15: 3, 3370.25, 3370.25, 7.59, subproblem = 1, timelimit = 105
rc103C15: 4, 4397.67, 4397.67, 0.09, subproblem = 1, timelimit = 105
r209C15: 1, 1313.24, 1313.24, 2.59, subproblem = 1, timelimit = 105
c202C15: 2, 2383.62, 2384.26, 2.49, subproblem = 1, timelimit = 105
rc202C15: 2, 2394.39, 2394.39, 0.32, subproblem = 1, timelimit = 105
c103C15: 3, 3348.46, 3348.46, 4.02, subproblem = 1, timelimit = 105
rc204C15: 1, 1382.22, 1382.57, 33.20, subproblem = 1, timelimit = 105
r202C15: 2, 2358.00, 2363.12, 17.16, subproblem = 1, timelimit = 105
c201_21: 4, 4629.95, 4629.95, 19.87, subproblem = 1, timelimit = 630
c101_21: 12, 13043.38, 13043.43, 44.85, subproblem = 1, timelimit = 630
r101_21: 18, 19611.14, 20039.29, 184.32, subproblem = 1, timelimit = 630
c105_21: 11, 12032.48, 12143.95, 201.28, subproblem = 1, timelimit = 630
c107_21: 11, 12012.89, 12121.64, 174.39, subproblem = 1, timelimit = 630
c106_21: 11, 12014.49, 12420.90, 212.54, subproblem = 1, timelimit = 630
c202_21: 4, 4629.95, 4633.45, 108.88, subproblem = 1, timelimit = 630
r105_21: 15, 16409.79, 17510.25, 280.24, subproblem = 1, timelimit = 630
r102_21: 17, 18447.60, 19475.62, 274.26, subproblem = 1, timelimit = 630
c102_21: 12, 13012.75, 13015.38, 307.30, subproblem = 1, timelimit = 630
c205_21: 4, 4629.95, 4629.95, 82.23, subproblem = 1, timelimit = 630
c108_21: 10, 11020.06, 11916.95, 415.70, subproblem = 1, timelimit = 630
r106_21: 14, 15329.50, 16541.54, 401.31, subproblem = 1, timelimit = 630
c109_21: 10, 11057.68, 11886.38, 452.46, subproblem = 1, timelimit = 630
r110_21: 13, 14139.86, 14265.49, 457.59, subproblem = 1, timelimit = 630
c103_21: 11, 11983.38, 12210.35, 390.24, subproblem = 1, timelimit = 630
c104_21: 10, 10892.36, 11756.58, 405.36, subproblem = 1, timelimit = 630
r103_21: 15, 16257.37, 16709.01, 477.77, subproblem = 1, timelimit = 630
r109_21: 14, 15269.03, 15878.45, 386.71, subproblem = 1, timelimit = 630
r104_21: 12, 13106.01, 14037.09, 450.85, subproblem = 1, timelimit = 630
c203_21: 4, 4629.95, 4641.20, 415.04, subproblem = 1, timelimit = 630
c206_21: 4, 4629.95, 4629.95, 172.29, subproblem = 1, timelimit = 630
c204_21: 4, 4633.08, 4762.06, 431.98, subproblem = 1, timelimit = 630
c208_21: 4, 4629.95, 4631.62, 265.48, subproblem = 1, timelimit = 630
c207_21: 4, 4629.95, 4630.26, 337.15, subproblem = 1, timelimit = 630
r201_21: 4, 5194.26, 5249.54, 435.18, subproblem = 1, timelimit = 630
r111_21: 12, 13101.43, 14578.07, 444.29, subproblem = 1, timelimit = 630
r108_21: 12, 13071.12, 13616.36, 428.07, subproblem = 1, timelimit = 630
r107_21: 13, 14162.19, 15012.20, 532.16, subproblem = 1, timelimit = 630
r204_21: 3, 3788.06, 4283.68, 367.10, subproblem = 1, timelimit = 630
r205_21: 3, 4113.28, 4932.58, 420.87, subproblem = 1, timelimit = 630
r202_21: 4, 5106.13, 5177.11, 395.55, subproblem = 1, timelimit = 630
r209_21: 3, 4034.09, 4730.87, 402.71, subproblem = 1, timelimit = 630
r210_21: 3, 3909.93, 4627.25, 409.16, subproblem = 1, timelimit = 630
r207_21: 3, 3928.01, 4203.40, 414.00, subproblem = 1, timelimit = 630
r211_21: 3, 3880.44, 4056.29, 422.42, subproblem = 1, timelimit = 630
r208_21: 3, 3817.31, 3912.24, 376.56, subproblem = 1, timelimit = 630
r203_21: 3, 4154.17, 4978.87, 385.74, subproblem = 1, timelimit = 630
r112_21: 12, 13054.64, 13493.02, 500.18, subproblem = 1, timelimit = 630
r206_21: 3, 4102.53, 4947.28, 381.85, subproblem = 1, timelimit = 630
rc101_21: 16, 17667.04, 18524.82, 266.39, subproblem = 1, timelimit = 630
rc105_21: 15, 16500.26, 16839.73, 393.24, subproblem = 1, timelimit = 630
rc106_21: 14, 15463.31, 16182.16, 287.49, subproblem = 1, timelimit = 630
rc102_21: 15, 16607.20, 17904.04, 381.30, subproblem = 1, timelimit = 630
rc205_21: 4, 5319.01, 5944.82, 441.93, subproblem = 1, timelimit = 630
rc103_21: 14, 15341.71, 15619.50, 415.95, subproblem = 1, timelimit = 630
rc107_21: 13, 14309.63, 14536.39, 414.59, subproblem = 1, timelimit = 630
rc202_21: 4, 5346.39, 5555.28, 551.65, subproblem = 1, timelimit = 630
rc201_21: 4, 5532.99, 5968.02, 539.97, subproblem = 1, timelimit = 630
rc206_21: 4, 5211.47, 5355.85, 469.63, subproblem = 1, timelimit = 630
rc203_21: 4, 5133.54, 5233.56, 425.19, subproblem = 1, timelimit = 630
rc108_21: 12, 13189.00, 13436.84, 453.72, subproblem = 1, timelimit = 630
rc104_21: 12, 13259.64, 14008.53, 440.41, subproblem = 1, timelimit = 630
rc207_21: 4, 5062.22, 5206.95, 341.47, subproblem = 1, timelimit = 630
rc208_21: 3, 3989.59, 4822.86, 460.41, subproblem = 1, timelimit = 630
rc204_21: 4, 4929.35, 5054.79, 441.72, subproblem = 1, timelimit = 630
