200_3: 45, 68219.71, 69710.26, 1686.48, subproblem = 1, timelimit = 1800
200_1: 46, 74060.10, 75718.31, 1782.33, subproblem = 1, timelimit = 1800
200_2: 43, 66255.36, 67505.53, 1797.81, subproblem = 1, timelimit = 1800
200_4: 46, 72557.01, 74701.11, 1800.69, subproblem = 1, timelimit = 1800
400_4: 89, 137312.31, 141331.04, 5404.06, subproblem = 1, timelimit = 5400
400_1: 95, 141561.75, 142694.05, 5406.36, subproblem = 1, timelimit = 5400
400_3: 84, 118665.20, 120745.11, 5410.98, subproblem = 1, timelimit = 5400
400_2: 92, 136842.18, 139007.05, 5421.45, subproblem = 1, timelimit = 5400
600_4: 133, 201123.62, 211620.07, 9009.64, subproblem = 1, timelimit = 9000
600_1: 143, 213824.87, 221616.09, 9097.22, subproblem = 1, timelimit = 9000
600_2: 139, 206849.40, 215497.97, 9103.28, subproblem = 1, timelimit = 9000
600_3: 126, 173412.99, 176186.74, 9243.68, subproblem = 1, timelimit = 9000
800_4: 202, 282966.34, 297859.86, 12613.94, subproblem = 1, timelimit = 12600
800_1: 178, 275924.88, 313298.97, 12617.93, subproblem = 1, timelimit = 12600
800_2: 182, 269445.25, 312947.07, 12667.52, subproblem = 1, timelimit = 12600
800_3: 167, 234915.71, 257492.90, 13053.00, subproblem = 1, timelimit = 12600
1000_4: 247, 349809.78, 391564.48, 16229.30, subproblem = 1, timelimit = 16200
1000_2: 259, 369338.23, 408955.96, 16232.57, subproblem = 1, timelimit = 16200
1000_3: 219, 314790.77, 361696.11, 16233.94, subproblem = 1, timelimit = 16200
1000_1: 254, 378549.15, 409496.27, 16265.94, subproblem = 1, timelimit = 16200
