c101C5: 2, 2264.44, 2264.44, 0.18, subproblem = 1, timelimit = 105
r105C5: 2, 2156.08, 2156.08, 0.27, subproblem = 1, timelimit = 105
rc105C5: 2, 2233.77, 2233.77, 0.41, subproblem = 1, timelimit = 105
c206C5: 1, 1242.56, 1242.56, 0.46, subproblem = 1, timelimit = 105
rc108C5: 2, 2253.93, 2253.93, 0.63, subproblem = 1, timelimit = 105
r104C5: 2, 2136.69, 2136.69, 0.74, subproblem = 1, timelimit = 105
c208C5: 1, 1158.48, 1158.48, 1.12, subproblem = 1, timelimit = 105
r202C5: 1, 1128.78, 1128.78, 1.52, subproblem = 1, timelimit = 105
r203C5: 1, 1179.06, 1179.06, 1.75, subproblem = 1, timelimit = 105
c103C5: 1, 1175.37, 1175.37, 2.05, subproblem = 1, timelimit = 105
rc208C5: 1, 1167.98, 1167.98, 3.24, subproblem = 1, timelimit = 105
rc204C5: 1, 1179.16, 1179.16, 3.83, subproblem = 1, timelimit = 105
rc102C10: 4, 4423.51, 4423.51, 0.89, subproblem = 1, timelimit = 105
c205C10: 2, 2228.28, 2228.28, 1.13, subproblem = 1, timelimit = 105
c202C10: 1, 1304.06, 1304.06, 1.17, subproblem = 1, timelimit = 105
r102C10: 3, 3249.19, 3249.19, 1.51, subproblem = 1, timelimit = 105
c101C10: 3, 3388.25, 3388.40, 1.61, subproblem = 1, timelimit = 105
rc108C10: 3, 3345.93, 3345.93, 2.39, subproblem = 1, timelimit = 105
r201C10: 1, 1241.51, 1241.51, 2.49, subproblem = 1, timelimit = 105
rc201C10: 1, 1412.86, 1412.86, 2.59, subproblem = 1, timelimit = 105
r103C10: 2, 2206.12, 2206.12, 7.06, subproblem = 1, timelimit = 105
r203C10: 1, 1218.21, 1218.21, 9.04, subproblem = 1, timelimit = 105
rc205C10: 2, 2325.98, 2325.98, 9.55, subproblem = 1, timelimit = 105
c104C10: 2, 2273.93, 2273.93, 14.31, subproblem = 1, timelimit = 105
r105C15: 4, 4336.15, 4336.15, 3.99, subproblem = 1, timelimit = 105
r102C15: 5, 5412.78, 5413.51, 5.87, subproblem = 1, timelimit = 105
c208C15: 2, 2300.55, 2300.55, 7.64, subproblem = 1, timelimit = 105
c106C15: 3, 3275.13, 3275.13, 17.39, subproblem = 1, timelimit = 105
r209C15: 1, 1313.24, 1313.24, 25.52, subproblem = 1, timelimit = 105
rc103C15: 4, 4397.67, 4397.67, 27.73, subproblem = 1, timelimit = 105
rc202C15: 2, 2394.39, 2394.39, 36.48, subproblem = 1, timelimit = 105
c202C15: 2, 2383.62, 2384.47, 41.65, subproblem = 1, timelimit = 105
rc108C15: 3, 3370.25, 3370.25, 49.19, subproblem = 1, timelimit = 105
rc204C15: 1, 1382.22, 1382.87, 92.86, subproblem = 1, timelimit = 105
c103C15: 3, 3348.46, 3348.47, 109.08, subproblem = 1, timelimit = 105
r202C15: 2, 2358.00, 2358.99, 125.08, subproblem = 1, timelimit = 105
