200_2: 46, 70070.89, 70070.89, 1801.51, subproblem = 1, timelimit = 1800
200_1: 54, 85339.60, 85339.60, 1805.81, subproblem = 1, timelimit = 1800
200_3: 52, 81199.17, 81199.17, 1810.11, subproblem = 1, timelimit = 1800
200_4: 50, 80540.57, 80540.57, 1812.23, subproblem = 1, timelimit = 1800
400_2: 109, 165077.92, 165077.92, 5400.04, subproblem = 1, timelimit = 5400
400_3: 95, 143999.24, 143999.24, 5402.22, subproblem = 1, timelimit = 5400
400_4: 103, 168395.88, 168395.88, 5411.77, subproblem = 1, timelimit = 5400
400_1: 111, 168050.11, 168050.11, 5414.11, subproblem = 1, timelimit = 5400
600_3: 142, 211271.22, 211271.22, 9034.22, subproblem = 1, timelimit = 9000
600_1: 170, 269612.09, 269612.09, 9030.29, subproblem = 1, timelimit = 9000
600_4: 150, 247937.98, 247937.98, 9047.18, subproblem = 1, timelimit = 9000
600_2: 165, 267343.98, 267343.98, 9052.13, subproblem = 1, timelimit = 9000
800_1: 215, 348967.41, 348967.41, 12629.41, subproblem = 1, timelimit = 12600
800_2: 211, 353319.70, 353319.70, 12641.34, subproblem = 1, timelimit = 12600
800_4: 205, 355988.15, 355988.15, 12719.97, subproblem = 1, timelimit = 12600
800_3: 199, 324705.58, 324705.58, 12775.18, subproblem = 1, timelimit = 12600
1000_1: 256, 459743.61, 459743.61, 16237.61, subproblem = 1, timelimit = 16200
1000_2: 268, 458633.52, 458633.52, 16248.17, subproblem = 1, timelimit = 16200
1000_4: 244, 433666.83, 433666.83, 16276.26, subproblem = 1, timelimit = 16200
1000_3: 252, 420004.62, 420004.62, 17381.99, subproblem = 1, timelimit = 16200
