200_3: 44, 67644.15, 69089.36, 3196.51, subproblem = 1, timelimit = 3600
200_2: 42, 65007.91, 66759.93, 3577.74, subproblem = 1, timelimit = 3600
200_1: 47, 73644.20, 74971.07, 3601.47, subproblem = 1, timelimit = 3600
200_4: 46, 71929.75, 74205.32, 3601.88, subproblem = 1, timelimit = 3600
400_3: 82, 115586.81, 116862.96, 10434.63, subproblem = 1, timelimit = 10800
400_4: 88, 135410.22, 137420.59, 10744.00, subproblem = 1, timelimit = 10800
400_1: 92, 134302.39, 137821.08, 10804.12, subproblem = 1, timelimit = 10800
400_2: 90, 134084.89, 135903.71, 11032.40, subproblem = 1, timelimit = 10800
600_4: 128, 188018.90, 191041.29, 18016.40, subproblem = 1, timelimit = 18000
600_1: 137, 202030.04, 207678.74, 18498.28, subproblem = 1, timelimit = 18000
600_3: 122, 169213.04, 171977.52, 18403.92, subproblem = 1, timelimit = 18000
800_1: 179, 265059.89, 273004.90, 25235.31, subproblem = 1, timelimit = 25200
800_4: 170, 251571.95, 261671.74, 25396.55, subproblem = 1, timelimit = 25200
