c101C5: 2, 2257.75, 2263.10, 0.20, subproblem = 1, timelimit = 105
r105C5: 2, 2156.08, 2156.08, 0.23, subproblem = 1, timelimit = 105
rc105C5: 2, 2233.77, 2233.77, 0.35, subproblem = 1, timelimit = 105
c206C5: 1, 1242.56, 1242.56, 0.45, subproblem = 1, timelimit = 105
rc108C5: 2, 2253.93, 2253.93, 0.57, subproblem = 1, timelimit = 105
r104C5: 2, 2136.69, 2136.69, 0.68, subproblem = 1, timelimit = 105
c208C5: 1, 1158.48, 1158.48, 1.11, subproblem = 1, timelimit = 105
r202C5: 1, 1128.78, 1128.78, 1.45, subproblem = 1, timelimit = 105
r203C5: 1, 1179.06, 1179.06, 1.75, subproblem = 1, timelimit = 105
c103C5: 1, 1175.37, 1175.37, 2.14, subproblem = 1, timelimit = 105
rc208C5: 1, 1167.98, 1167.98, 3.21, subproblem = 1, timelimit = 105
rc204C5: 1, 1176.39, 1176.39, 5.18, subproblem = 1, timelimit = 105
rc102C10: 4, 4423.51, 4423.51, 0.92, subproblem = 1, timelimit = 105
c202C10: 1, 1304.06, 1304.06, 1.13, subproblem = 1, timelimit = 105
c205C10: 2, 2228.28, 2228.28, 1.19, subproblem = 1, timelimit = 105
c101C10: 3, 3388.25, 3388.25, 1.34, subproblem = 1, timelimit = 105
r102C10: 3, 3249.19, 3249.19, 1.56, subproblem = 1, timelimit = 105
rc108C10: 3, 3345.93, 3345.93, 2.26, subproblem = 1, timelimit = 105
rc201C10: 1, 1412.86, 1412.86, 2.39, subproblem = 1, timelimit = 105
r201C10: 1, 1241.51, 1241.51, 2.62, subproblem = 1, timelimit = 105
r103C10: 2, 2206.12, 2206.12, 7.34, subproblem = 1, timelimit = 105
rc205C10: 2, 2325.98, 2325.98, 9.06, subproblem = 1, timelimit = 105
r203C10: 1, 1218.21, 1218.21, 9.28, subproblem = 1, timelimit = 105
c104C10: 2, 2273.93, 2273.93, 15.47, subproblem = 1, timelimit = 105
r105C15: 4, 4336.15, 4336.15, 3.68, subproblem = 1, timelimit = 105
r102C15: 5, 5412.78, 5414.25, 5.04, subproblem = 1, timelimit = 105
c208C15: 2, 2300.55, 2300.55, 7.61, subproblem = 1, timelimit = 105
rc103C15: 4, 4397.67, 4397.67, 18.91, subproblem = 1, timelimit = 105
r209C15: 1, 1313.24, 1313.24, 26.44, subproblem = 1, timelimit = 105
c202C15: 2, 2383.62, 2384.26, 28.25, subproblem = 1, timelimit = 105
c106C15: 3, 3275.13, 3275.13, 34.04, subproblem = 1, timelimit = 105
rc202C15: 2, 2394.39, 2394.39, 40.62, subproblem = 1, timelimit = 105
rc108C15: 3, 3370.25, 3370.25, 56.53, subproblem = 1, timelimit = 105
rc204C15: 1, 1382.22, 1382.22, 90.66, subproblem = 1, timelimit = 105
c103C15: 3, 3348.46, 3348.46, 96.41, subproblem = 1, timelimit = 105
r202C15: 2, 2358.00, 2361.17, 119.56, subproblem = 1, timelimit = 105
c201_21: 4, 4629.95, 4629.95, 87.74, subproblem = 1, timelimit = 630
c101_21: 12, 13043.38, 13043.43, 165.29, subproblem = 1, timelimit = 630
c107_21: 11, 12010.55, 12121.41, 328.36, subproblem = 1, timelimit = 630
c105_21: 11, 12032.48, 12045.44, 334.90, subproblem = 1, timelimit = 630
c106_21: 11, 12014.49, 12421.33, 362.91, subproblem = 1, timelimit = 630
c202_21: 4, 4629.95, 4633.45, 388.02, subproblem = 1, timelimit = 630
c102_21: 12, 13012.78, 13015.38, 495.40, subproblem = 1, timelimit = 630
c205_21: 4, 4629.95, 4629.95, 508.73, subproblem = 1, timelimit = 630
c108_21: 10, 11025.66, 11921.79, 586.73, subproblem = 1, timelimit = 630
c109_21: 10, 11057.68, 11891.33, 611.87, subproblem = 1, timelimit = 630
c104_21: 10, 10890.46, 11641.33, 635.73, subproblem = 1, timelimit = 630
c103_21: 11, 11981.98, 12104.99, 644.38, subproblem = 1, timelimit = 630
c204_21: 4, 4633.08, 4675.38, 648.07, subproblem = 1, timelimit = 630
c206_21: 4, 4629.95, 4629.95, 650.57, subproblem = 1, timelimit = 630
c203_21: 4, 4629.95, 4638.02, 663.08, subproblem = 1, timelimit = 630
c207_21: 4, 4629.95, 4630.26, 665.05, subproblem = 1, timelimit = 630
c208_21: 4, 4629.95, 4631.31, 666.05, subproblem = 1, timelimit = 630
r101_21: 18, 19611.14, 20039.29, 257.09, subproblem = 1, timelimit = 630
r105_21: 15, 16385.33, 17516.04, 358.16, subproblem = 1, timelimit = 630
r109_21: 14, 15249.09, 15876.22, 563.84, subproblem = 1, timelimit = 630
r110_21: 13, 14136.55, 14572.78, 568.03, subproblem = 1, timelimit = 630
r106_21: 14, 15298.93, 16537.54, 572.72, subproblem = 1, timelimit = 630
r102_21: 17, 18439.81, 19473.34, 481.82, subproblem = 1, timelimit = 630
r201_21: 4, 5194.26, 5240.36, 634.55, subproblem = 1, timelimit = 630
r111_21: 13, 14140.34, 14779.47, 639.74, subproblem = 1, timelimit = 630
r107_21: 13, 14163.97, 15113.11, 645.05, subproblem = 1, timelimit = 630
r202_21: 4, 5091.52, 5162.24, 646.62, subproblem = 1, timelimit = 630
r108_21: 12, 13073.40, 13621.72, 653.05, subproblem = 1, timelimit = 630
r205_21: 3, 4113.28, 4763.96, 664.11, subproblem = 1, timelimit = 630
r112_21: 12, 13055.78, 13598.18, 667.77, subproblem = 1, timelimit = 630
r104_21: 12, 13090.40, 13925.23, 670.55, subproblem = 1, timelimit = 630
r206_21: 3, 4102.53, 4941.52, 672.48, subproblem = 1, timelimit = 630
r203_21: 3, 4126.20, 4949.37, 683.34, subproblem = 1, timelimit = 630
r208_21: 3, 3808.97, 3886.99, 735.64, subproblem = 1, timelimit = 630
r103_21: 14, 15283.51, 16401.67, 656.11, subproblem = 1, timelimit = 630
r207_21: 3, 3928.01, 4097.48, 748.13, subproblem = 1, timelimit = 630
r204_21: 3, 3788.06, 4070.11, 779.15, subproblem = 1, timelimit = 630
r209_21: 3, 3988.96, 4703.77, 689.73, subproblem = 1, timelimit = 630
r210_21: 3, 3909.50, 4592.15, 673.82, subproblem = 1, timelimit = 630
r211_21: 3, 3865.46, 3916.29, 680.34, subproblem = 1, timelimit = 630
rc101_21: 16, 17667.04, 18423.47, 390.86, subproblem = 1, timelimit = 630
rc106_21: 14, 15462.90, 16079.39, 542.12, subproblem = 1, timelimit = 630
rc105_21: 15, 16500.26, 16837.58, 552.43, subproblem = 1, timelimit = 630
rc102_21: 16, 17549.39, 18005.14, 559.08, subproblem = 1, timelimit = 630
rc107_21: 12, 13290.93, 14432.28, 619.78, subproblem = 1, timelimit = 630
rc205_21: 4, 5319.01, 5935.60, 638.15, subproblem = 1, timelimit = 630
rc103_21: 14, 15369.65, 15725.87, 639.09, subproblem = 1, timelimit = 630
rc108_21: 12, 13183.67, 13327.54, 642.32, subproblem = 1, timelimit = 630
rc201_21: 4, 5508.11, 6074.54, 643.10, subproblem = 1, timelimit = 630
rc104_21: 12, 13251.43, 13808.92, 654.24, subproblem = 1, timelimit = 630
rc207_21: 4, 5062.22, 5187.86, 661.93, subproblem = 1, timelimit = 630
rc206_21: 4, 5211.47, 5358.90, 662.46, subproblem = 1, timelimit = 630
rc202_21: 4, 5346.39, 5551.19, 664.10, subproblem = 1, timelimit = 630
rc203_21: 4, 5133.54, 5233.46, 668.26, subproblem = 1, timelimit = 630
rc204_21: 4, 4912.96, 4996.90, 672.33, subproblem = 1, timelimit = 630
rc208_21: 3, 3978.30, 4806.55, 693.13, subproblem = 1, timelimit = 630
