Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,};
Customers = {16,17,18,19,20,21,22,23,24,25,};
Depot_N1 = {26};

v = 1.0;
C = 700.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	77.0
5	:	77.0
6	:	77.0
7	:	21.0
8	:	21.0
9	:	21.0
10	:	22.0
11	:	22.0
12	:	22.0
13	:	39.0
14	:	39.0
15	:	39.0
16	:	62.0
17	:	20.0
18	:	70.0
19	:	20.0
20	:	38.0
21	:	34.0
22	:	25.0
23	:	22.0
24	:	35.0
25	:	16.0
26	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	52.0
5	:	52.0
6	:	52.0
7	:	83.0
8	:	83.0
9	:	83.0
10	:	34.0
11	:	34.0
12	:	34.0
13	:	26.0
14	:	26.0
15	:	26.0
16	:	40.0
17	:	55.0
18	:	58.0
19	:	85.0
20	:	15.0
21	:	60.0
22	:	50.0
23	:	66.0
24	:	66.0
25	:	42.0
26	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	6.451612903225806
17	:	3.6363636363636367
18	:	16.571428571428573
19	:	9.411764705882353
20	:	15.789473684210527
21	:	11.333333333333332
22	:	5.0
23	:	13.333333333333332
24	:	5.303030303030303
25	:	7.619047619047619
26	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	3.548387096774194
17	:	6.363636363636363
18	:	3.428571428571427
19	:	30.588235294117645
20	:	24.210526315789473
21	:	8.666666666666668
22	:	5.0
23	:	26.666666666666668
24	:	4.696969696969697
25	:	12.380952380952381
26	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	1808.0
17	:	2737.0
18	:	321.0
19	:	693.0
20	:	0.0
21	:	12.0
22	:	2925.0
23	:	1078.0
24	:	28.0
25	:	2544.0
26	:	0.0
]#;

l = #[
0	:	3390.0
1	:	3390.0
2	:	3390.0
3	:	3390.0
4	:	3390.0
5	:	3390.0
6	:	3390.0
7	:	3390.0
8	:	3390.0
9	:	3390.0
10	:	3390.0
11	:	3390.0
12	:	3390.0
13	:	3390.0
14	:	3390.0
15	:	3390.0
16	:	1968.0
17	:	2897.0
18	:	481.0
19	:	853.0
20	:	3264.0
21	:	172.0
22	:	3085.0
23	:	1238.0
24	:	188.0
25	:	2704.0
26	:	3390.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	90.0
17	:	90.0
18	:	90.0
19	:	90.0
20	:	90.0
21	:	90.0
22	:	90.0
23	:	90.0
24	:	90.0
25	:	90.0
26	:	0.0
]#;
