Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,};
Customers = {13,14,15,16,17,18,19,20,21,22,};
Depot_N1 = {23};

v = 1.0;
C = 1000.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	77.0
5	:	77.0
6	:	77.0
7	:	57.0
8	:	57.0
9	:	57.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	55.0
14	:	55.0
15	:	12.0
16	:	31.0
17	:	2.0
18	:	15.0
19	:	88.0
20	:	27.0
21	:	61.0
22	:	18.0
23	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	52.0
5	:	52.0
6	:	52.0
7	:	82.0
8	:	82.0
9	:	82.0
10	:	28.0
11	:	28.0
12	:	28.0
13	:	54.0
14	:	85.0
15	:	24.0
16	:	67.0
17	:	40.0
18	:	10.0
19	:	35.0
20	:	43.0
21	:	52.0
22	:	75.0
23	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	25.527272727272727
14	:	12.941176470588236
15	:	6.5
16	:	1.3880597014925373
17	:	1.0
18	:	13.333333333333332
19	:	7.954545454545454
20	:	5.651162790697675
21	:	2.5573770491803276
22	:	4.8
23	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.47272727272727266
14	:	7.0588235294117645
15	:	6.5
16	:	1.6119402985074627
17	:	19.0
18	:	6.666666666666668
19	:	12.045454545454547
20	:	3.3488372093023253
21	:	0.4426229508196724
22	:	15.2
23	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	319.0
14	:	39.0
15	:	441.0
16	:	528.0
17	:	607.0
18	:	198.0
19	:	71.0
20	:	488.0
21	:	350.0
22	:	142.0
23	:	0.0
]#;

l = #[
0	:	960.0
1	:	960.0
2	:	960.0
3	:	960.0
4	:	960.0
5	:	960.0
6	:	960.0
7	:	960.0
8	:	960.0
9	:	960.0
10	:	960.0
11	:	960.0
12	:	960.0
13	:	355.0
14	:	490.0
15	:	441.0
16	:	528.0
17	:	739.0
18	:	406.0
19	:	689.0
20	:	650.0
21	:	404.0
22	:	494.0
23	:	960.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	10.0
23	:	0.0
]#;
