Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,};
Customers = {10,11,12,13,14,15,16,17,18,19,};
Depot_N1 = {20};

v = 1.0;
C = 200.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	35.0
4	:	15.0
5	:	15.0
6	:	15.0
7	:	21.0
8	:	21.0
9	:	21.0
10	:	15.0
11	:	11.0
12	:	37.0
13	:	20.0
14	:	35.0
15	:	55.0
16	:	14.0
17	:	6.0
18	:	45.0
19	:	10.0
20	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	35.0
4	:	42.0
5	:	42.0
6	:	42.0
7	:	22.0
8	:	22.0
9	:	22.0
10	:	19.0
11	:	31.0
12	:	31.0
13	:	40.0
14	:	40.0
15	:	54.0
16	:	37.0
17	:	38.0
18	:	30.0
19	:	20.0
20	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	2.0
12	:	11.0
13	:	6.0
14	:	14.0
15	:	25.0
16	:	4.0
17	:	2.0
18	:	11.0
19	:	9.0
20	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	1.0
11	:	5.0
12	:	3.0
13	:	6.0
14	:	2.0
15	:	1.0
16	:	7.0
17	:	14.0
18	:	6.0
19	:	10.0
20	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	87.0
11	:	96.0
12	:	0.0
13	:	0.0
14	:	173.0
15	:	0.0
16	:	0.0
17	:	0.0
18	:	0.0
19	:	71.0
20	:	0.0
]#;

l = #[
0	:	230.0
1	:	230.0
2	:	230.0
3	:	230.0
4	:	230.0
5	:	230.0
6	:	230.0
7	:	230.0
8	:	230.0
9	:	230.0
10	:	97.0
11	:	106.0
12	:	215.0
13	:	204.0
14	:	183.0
15	:	192.0
16	:	198.0
17	:	190.0
18	:	208.0
19	:	81.0
20	:	230.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	0.0
]#;
