Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,};
Customers = {16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,};
Depot_N1 = {31};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	57.0
5	:	57.0
6	:	57.0
7	:	21.0
8	:	21.0
9	:	21.0
10	:	22.0
11	:	22.0
12	:	22.0
13	:	39.0
14	:	39.0
15	:	39.0
16	:	50.0
17	:	20.0
18	:	58.0
19	:	38.0
20	:	5.0
21	:	22.0
22	:	35.0
23	:	32.0
24	:	26.0
25	:	62.0
26	:	15.0
27	:	8.0
28	:	68.0
29	:	15.0
30	:	35.0
31	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	82.0
5	:	82.0
6	:	82.0
7	:	83.0
8	:	83.0
9	:	83.0
10	:	34.0
11	:	34.0
12	:	34.0
13	:	26.0
14	:	26.0
15	:	26.0
16	:	30.0
17	:	55.0
18	:	75.0
19	:	15.0
20	:	35.0
21	:	75.0
22	:	66.0
23	:	30.0
24	:	32.0
25	:	80.0
26	:	75.0
27	:	40.0
28	:	60.0
29	:	80.0
30	:	30.0
31	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	6.0
17	:	3.0
18	:	15.0
19	:	3.0
20	:	1.0
21	:	8.0
22	:	5.0
23	:	9.0
24	:	8.0
25	:	23.0
26	:	4.0
27	:	8.0
28	:	26.0
29	:	1.0
30	:	8.0
31	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	4.0
17	:	7.0
18	:	5.0
19	:	7.0
20	:	9.0
21	:	22.0
22	:	5.0
23	:	1.0
24	:	2.0
25	:	7.0
26	:	16.0
27	:	32.0
28	:	4.0
29	:	9.0
30	:	2.0
31	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	980.0
17	:	0.0
18	:	0.0
19	:	66.0
20	:	655.0
21	:	1042.0
22	:	779.0
23	:	0.0
24	:	0.0
25	:	0.0
26	:	0.0
27	:	355.0
28	:	0.0
29	:	455.0
30	:	143.0
31	:	0.0
]#;

l = #[
0	:	1236.0
1	:	1236.0
2	:	1236.0
3	:	1236.0
4	:	1236.0
5	:	1236.0
6	:	1236.0
7	:	1236.0
8	:	1236.0
9	:	1236.0
10	:	1236.0
11	:	1236.0
12	:	1236.0
13	:	1236.0
14	:	1236.0
15	:	1236.0
16	:	1064.0
17	:	1125.0
18	:	1115.0
19	:	124.0
20	:	725.0
21	:	1106.0
22	:	845.0
23	:	1124.0
24	:	1123.0
25	:	1108.0
26	:	1110.0
27	:	437.0
28	:	1116.0
29	:	513.0
30	:	199.0
31	:	1236.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	90.0
17	:	90.0
18	:	90.0
19	:	90.0
20	:	90.0
21	:	90.0
22	:	90.0
23	:	90.0
24	:	90.0
25	:	90.0
26	:	90.0
27	:	90.0
28	:	90.0
29	:	90.0
30	:	90.0
31	:	0.0
]#;
