Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,};
Customers = {13,14,15,16,17,};
Depot_N1 = {18};

v = 1.0;
C = 1000.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	14.0
5	:	14.0
6	:	14.0
7	:	22.0
8	:	22.0
9	:	22.0
10	:	39.0
11	:	39.0
12	:	39.0
13	:	38.0
14	:	42.0
15	:	42.0
16	:	20.0
17	:	49.0
18	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	59.0
5	:	59.0
6	:	59.0
7	:	34.0
8	:	34.0
9	:	34.0
10	:	26.0
11	:	26.0
12	:	26.0
13	:	5.0
14	:	10.0
15	:	12.0
16	:	80.0
17	:	58.0
18	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	3.0
14	:	9.0
15	:	2.0
16	:	10.0
17	:	8.0
18	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	27.0
14	:	31.0
15	:	8.0
16	:	30.0
17	:	2.0
18	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	712.0
17	:	0.0
18	:	0.0
]#;

l = #[
0	:	960.0
1	:	960.0
2	:	960.0
3	:	960.0
4	:	960.0
5	:	960.0
6	:	960.0
7	:	960.0
8	:	960.0
9	:	960.0
10	:	960.0
11	:	960.0
12	:	960.0
13	:	904.0
14	:	909.0
15	:	911.0
16	:	832.0
17	:	937.0
18	:	960.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	0.0
]#;
