StringID	Type	x	y	Delivery	Pickup	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	3390.0	0.0
S0	f	40.0	50.0	0.0	0.0	0.0	3390.0	0.0
S1	f	73.0	52.0	0.0	0.0	0.0	3390.0	0.0
S2	f	90.0	55.0	0.0	0.0	0.0	3390.0	0.0
S3	f	55.0	79.0	0.0	0.0	0.0	3390.0	0.0
S4	f	69.0	89.0	0.0	0.0	0.0	3390.0	0.0
S5	f	32.0	80.0	0.0	0.0	0.0	3390.0	0.0
S6	f	39.0	96.0	0.0	0.0	0.0	3390.0	0.0
S7	f	23.0	80.0	0.0	0.0	0.0	3390.0	0.0
S8	f	4.0	83.0	0.0	0.0	0.0	3390.0	0.0
S9	f	18.0	58.0	0.0	0.0	0.0	3390.0	0.0
S10	f	1.0	56.0	0.0	0.0	0.0	3390.0	0.0
S11	f	13.0	31.0	0.0	0.0	0.0	3390.0	0.0
S12	f	-5.0	38.0	0.0	0.0	0.0	3390.0	0.0
S13	f	26.0	37.0	0.0	0.0	0.0	3390.0	0.0
S14	f	28.0	13.0	0.0	0.0	0.0	3390.0	0.0
S15	f	39.0	31.0	0.0	0.0	0.0	3390.0	0.0
S16	f	48.0	11.0	0.0	0.0	0.0	3390.0	0.0
S17	f	59.0	17.0	0.0	0.0	0.0	3390.0	0.0
S18	f	73.0	23.0	0.0	0.0	0.0	3390.0	0.0
S19	f	74.0	32.0	0.0	0.0	0.0	3390.0	0.0
S20	f	90.0	44.0	0.0	0.0	0.0	3390.0	0.0
C1	c	52.0	75.0	6.933333333333334	3.0666666666666664	721.0	1411.0	90.0
C2	c	45.0	70.0	19.28571428571429	10.714285714285712	942.0	1386.0	90.0
C3	c	62.0	69.0	8.985507246376812	1.0144927536231876	30.0	889.0	90.0
C4	c	60.0	66.0	9.09090909090909	0.9090909090909101	26.0	985.0	90.0
C5	c	42.0	65.0	6.461538461538462	3.5384615384615383	802.0	1902.0	90.0
C6	c	16.0	42.0	7.619047619047619	12.380952380952381	2334.0	2914.0	90.0
C7	c	58.0	70.0	16.571428571428573	3.428571428571427	27.0	706.0	90.0
C8	c	34.0	60.0	11.333333333333332	8.666666666666668	12.0	858.0	90.0
C9	c	28.0	70.0	4.0	6.0	24.0	1306.0	90.0
C10	c	35.0	66.0	5.303030303030303	4.696969696969697	17.0	810.0	90.0
C11	c	35.0	69.0	5.072463768115942	4.927536231884058	20.0	972.0	90.0
C12	c	25.0	85.0	5.882352941176471	14.117647058823529	394.0	782.0	90.0
C13	c	22.0	75.0	8.8	21.2	32.0	760.0	90.0
C14	c	22.0	85.0	2.588235294117647	7.411764705882353	312.0	1050.0	90.0
C15	c	20.0	80.0	10.0	30.0	413.0	569.0	90.0
C16	c	20.0	85.0	9.411764705882353	30.588235294117645	494.0	1052.0	90.0
C17	c	18.0	75.0	4.8	15.2	483.0	1633.0	90.0
C18	c	15.0	75.0	4.0	16.0	894.0	1036.0	90.0
C19	c	15.0	80.0	1.875	8.125	592.0	1148.0	90.0
C20	c	30.0	50.0	6.0	4.0	2697.0	3290.0	90.0
C21	c	30.0	56.0	10.714285714285714	9.285714285714286	2626.0	3288.0	90.0
C22	c	28.0	52.0	10.769230769230768	9.230769230769232	2708.0	3287.0	90.0
C23	c	14.0	66.0	2.121212121212121	7.878787878787879	1000.0	1512.0	90.0
C24	c	25.0	50.0	5.0	5.0	2478.0	3285.0	90.0
C25	c	22.0	66.0	13.333333333333332	26.666666666666668	641.0	1675.0	90.0
C26	c	8.0	62.0	1.2903225806451613	8.709677419354838	879.0	1829.0	90.0
C27	c	23.0	52.0	4.423076923076923	5.576923076923077	2799.0	3025.0	90.0
C28	c	4.0	55.0	1.4545454545454546	18.545454545454547	1183.0	2163.0	90.0
C29	c	20.0	50.0	4.0	6.0	2545.0	2899.0	90.0
C30	c	20.0	55.0	3.6363636363636367	6.363636363636363	2625.0	3009.0	90.0
C31	c	10.0	35.0	5.7142857142857135	14.285714285714286	2169.0	2511.0	90.0
C32	c	10.0	40.0	7.5	22.5	2121.0	2933.0	90.0
C33	c	8.0	40.0	8.0	32.0	1806.0	3064.0	90.0
C34	c	8.0	45.0	3.555555555555556	16.444444444444443	1630.0	1918.0	90.0
C35	c	5.0	35.0	1.4285714285714284	8.571428571428571	1791.0	2699.0	90.0
C36	c	5.0	45.0	1.1111111111111112	8.88888888888889	1444.0	2290.0	90.0
C37	c	2.0	40.0	1.0	19.0	2001.0	2297.0	90.0
C38	c	0.0	40.0	0.0	30.0	1740.0	2374.0	90.0
C39	c	0.0	45.0	0.0	20.0	1576.0	2348.0	90.0
C40	c	36.0	18.0	5.0	5.0	797.0	1299.0	90.0
C41	c	35.0	32.0	9.142857142857142	0.8571428571428577	19.0	626.0	90.0
C42	c	33.0	32.0	19.393939393939394	0.6060606060606055	127.0	457.0	90.0
C43	c	33.0	35.0	9.428571428571429	0.5714285714285712	17.0	625.0	90.0
C44	c	32.0	20.0	6.25	3.75	613.0	1295.0	90.0
C45	c	30.0	30.0	10.0	0.0	545.0	979.0	90.0
C46	c	34.0	25.0	22.058823529411768	7.941176470588232	491.0	1225.0	90.0
C47	c	30.0	35.0	8.571428571428571	1.4285714285714288	148.0	626.0	90.0
C48	c	36.0	40.0	9.0	1.0	11.0	543.0	90.0
C49	c	48.0	20.0	4.166666666666667	5.833333333333333	1701.0	2377.0	90.0
C50	c	26.0	32.0	8.125	1.875	387.0	763.0	90.0
C51	c	25.0	30.0	8.333333333333334	1.666666666666666	269.0	1065.0	90.0
C52	c	25.0	35.0	7.142857142857143	2.8571428571428568	177.0	787.0	90.0
C53	c	44.0	5.0	2.2727272727272725	17.727272727272727	1228.0	2274.0	90.0
C54	c	42.0	10.0	9.523809523809524	30.476190476190474	1580.0	2112.0	90.0
C55	c	42.0	15.0	3.5714285714285716	6.428571428571429	1665.0	2217.0	90.0
C56	c	40.0	5.0	3.75	26.25	1359.0	1955.0	90.0
C57	c	38.0	15.0	15.789473684210527	24.210526315789473	762.0	1800.0	90.0
C58	c	38.0	5.0	3.9473684210526314	26.05263157894737	1198.0	1932.0	90.0
C59	c	38.0	10.0	2.631578947368421	7.368421052631579	1103.0	1649.0	90.0
C60	c	35.0	5.0	2.8571428571428568	17.142857142857142	1214.0	1730.0	90.0
C61	c	50.0	30.0	6.0	4.0	1746.0	3092.0	90.0
C62	c	50.0	35.0	14.0	6.0	2399.0	3001.0	90.0
C63	c	50.0	40.0	40.0	10.0	1542.0	2438.0	90.0
C64	c	48.0	30.0	6.25	3.75	1992.0	2662.0	90.0
C65	c	44.0	25.0	5.6818181818181825	4.3181818181818175	1654.0	2618.0	90.0
C66	c	47.0	35.0	7.446808510638298	2.5531914893617023	2473.0	3113.0	90.0
C67	c	47.0	40.0	8.51063829787234	1.4893617021276597	1562.0	2604.0	90.0
C68	c	42.0	30.0	7.142857142857143	2.8571428571428568	1831.0	2631.0	90.0
C69	c	45.0	35.0	7.777777777777778	2.2222222222222223	2407.0	3284.0	90.0
C70	c	95.0	30.0	9.473684210526315	20.526315789473685	902.0	1328.0	90.0
C71	c	95.0	35.0	7.368421052631579	12.631578947368421	682.0	1358.0	90.0
C72	c	53.0	30.0	5.660377358490566	4.339622641509434	2352.0	2672.0	90.0
C73	c	92.0	30.0	3.2608695652173916	6.739130434782608	691.0	1725.0	90.0
C74	c	53.0	35.0	33.0188679245283	16.9811320754717	2249.0	2965.0	90.0
C75	c	45.0	65.0	13.846153846153847	6.153846153846153	730.0	1788.0	90.0
C76	c	90.0	35.0	3.888888888888889	6.111111111111111	565.0	1285.0	90.0
C77	c	72.0	45.0	6.25	3.75	1301.0	2087.0	90.0
C78	c	78.0	40.0	10.256410256410255	9.743589743589745	1223.0	1969.0	90.0
C79	c	87.0	30.0	3.4482758620689657	6.551724137931034	1090.0	1714.0	90.0
C80	c	85.0	25.0	2.9411764705882355	7.0588235294117645	1110.0	1504.0	90.0
C81	c	85.0	35.0	12.352941176470587	17.647058823529413	1157.0	1837.0	90.0
C82	c	75.0	55.0	14.666666666666666	5.333333333333334	141.0	1035.0	90.0
C83	c	72.0	55.0	7.638888888888888	2.3611111111111116	165.0	825.0	90.0
C84	c	70.0	58.0	16.571428571428573	3.428571428571427	96.0	706.0	90.0
C85	c	86.0	46.0	16.046511627906977	13.953488372093023	330.0	1316.0	90.0
C86	c	66.0	55.0	8.333333333333334	1.666666666666666	27.0	872.0	90.0
C87	c	64.0	46.0	14.375	5.625	1503.0	2081.0	90.0
C88	c	65.0	60.0	27.692307692307693	2.3076923076923066	27.0	607.0	90.0
C89	c	56.0	64.0	8.75	1.25	22.0	638.0	90.0
C90	c	60.0	55.0	9.166666666666666	0.8333333333333339	21.0	719.0	90.0
C91	c	60.0	60.0	10.0	0.0	23.0	1391.0	90.0
C92	c	67.0	85.0	15.76470588235294	4.23529411764706	368.0	998.0	90.0
C93	c	42.0	58.0	28.96551724137931	11.03448275862069	980.0	1918.0	90.0
C94	c	65.0	82.0	7.926829268292684	2.0731707317073162	353.0	825.0	90.0
C95	c	62.0	80.0	23.25	6.75	262.0	730.0	90.0
C96	c	62.0	40.0	6.451612903225806	3.548387096774194	1476.0	2300.0	90.0
C97	c	60.0	85.0	21.176470588235297	8.823529411764703	443.0	1117.0	90.0
C98	c	58.0	75.0	15.466666666666667	4.533333333333333	31.0	838.0	90.0
C99	c	55.0	80.0	6.875	3.125	653.0	1287.0	90.0
C100	c	55.0	85.0	12.941176470588236	7.0588235294117645	656.0	1094.0	90.0

Q Vehicle fuel tank capacity /117.66/
C Vehicle load capacity /700.0/
r fuel consumption rate /1.0/
g inverse refueling rate /2.29/
v average Velocity /1.0/
