StringID	Type	x	y	Delivery	Pickup	ReadyTime	DueDate	ServiceTime
D0	d	35.0	35.0	0.0	0.0	0.0	1000.0	0.0
S0	f	35.0	35.0	0.0	0.0	0.0	1000.0	0.0
S1	f	61.0	37.0	0.0	0.0	0.0	1000.0	0.0
S2	f	74.0	39.0	0.0	0.0	0.0	1000.0	0.0
S3	f	47.0	57.0	0.0	0.0	0.0	1000.0	0.0
S4	f	57.0	65.0	0.0	0.0	0.0	1000.0	0.0
S5	f	29.0	59.0	0.0	0.0	0.0	1000.0	0.0
S6	f	34.0	71.0	0.0	0.0	0.0	1000.0	0.0
S7	f	22.0	58.0	0.0	0.0	0.0	1000.0	0.0
S8	f	7.0	61.0	0.0	0.0	0.0	1000.0	0.0
S9	f	18.0	41.0	0.0	0.0	0.0	1000.0	0.0
S10	f	5.0	39.0	0.0	0.0	0.0	1000.0	0.0
S11	f	14.0	20.0	0.0	0.0	0.0	1000.0	0.0
S12	f	0.0	26.0	0.0	0.0	0.0	1000.0	0.0
S13	f	24.0	25.0	0.0	0.0	0.0	1000.0	0.0
S14	f	26.0	6.0	0.0	0.0	0.0	1000.0	0.0
S15	f	34.0	20.0	0.0	0.0	0.0	1000.0	0.0
S16	f	41.0	5.0	0.0	0.0	0.0	1000.0	0.0
S17	f	50.0	9.0	0.0	0.0	0.0	1000.0	0.0
S18	f	61.0	14.0	0.0	0.0	0.0	1000.0	0.0
S19	f	62.0	21.0	0.0	0.0	0.0	1000.0	0.0
S20	f	74.0	30.0	0.0	0.0	0.0	1000.0	0.0
C1	c	41.0	49.0	8.36734693877551	1.6326530612244898	16.0	102.0	10.0
C2	c	35.0	17.0	3.4	3.6	18.0	166.0	10.0
C3	c	55.0	45.0	10.636363636363637	2.3636363636363633	737.0	945.0	10.0
C4	c	55.0	20.0	6.909090909090909	12.09090909090909	753.0	831.0	10.0
C5	c	15.0	30.0	13.0	13.0	21.0	182.0	10.0
C6	c	25.0	30.0	2.5	0.5	556.0	708.0	10.0
C7	c	20.0	50.0	2.0	3.0	32.0	110.0	10.0
C8	c	10.0	43.0	2.0930232558139537	6.906976744186046	71.0	195.0	10.0
C9	c	55.0	60.0	14.666666666666666	1.333333333333334	558.0	700.0	10.0
C10	c	30.0	60.0	8.0	8.0	585.0	691.0	10.0
C11	c	20.0	65.0	3.6923076923076925	8.307692307692307	701.0	821.0	10.0
C12	c	50.0	35.0	13.299999999999999	5.700000000000001	850.0	934.0	10.0
C13	c	30.0	25.0	19.166666666666668	3.833333333333332	12.0	133.0	10.0
C14	c	15.0	10.0	13.333333333333332	6.666666666666668	174.0	304.0	10.0
C15	c	30.0	5.0	1.3333333333333333	6.666666666666667	861.0	959.0	10.0
C16	c	10.0	20.0	9.5	9.5	527.0	665.0	10.0
C17	c	5.0	30.0	0.3333333333333333	1.6666666666666667	750.0	854.0	10.0
C18	c	20.0	40.0	6.0	6.0	403.0	513.0	10.0
C19	c	15.0	60.0	4.25	12.75	233.0	363.0	10.0
C20	c	45.0	65.0	6.230769230769231	2.769230769230769	679.0	769.0	10.0
C21	c	45.0	20.0	4.888888888888888	6.111111111111112	67.0	213.0	10.0
C22	c	45.0	10.0	4.0	14.0	765.0	885.0	10.0
C23	c	55.0	5.0	2.6363636363636362	26.363636363636363	94.0	274.0	10.0
C24	c	65.0	35.0	1.6153846153846154	1.3846153846153846	802.0	912.0	10.0
C25	c	65.0	20.0	1.8461538461538463	4.153846153846153	69.0	183.0	10.0
C26	c	45.0	30.0	11.333333333333332	5.666666666666668	134.0	252.0	10.0
C27	c	35.0	40.0	14.0	2.0	299.0	477.0	10.0
C28	c	41.0	37.0	14.439024390243903	1.5609756097560972	357.0	495.0	10.0
C29	c	64.0	42.0	5.90625	3.09375	847.0	960.0	10.0
C30	c	40.0	60.0	14.0	7.0	520.0	628.0	10.0
C31	c	31.0	52.0	16.096153846153847	10.903846153846153	591.0	809.0	10.0
C32	c	35.0	69.0	11.666666666666668	11.333333333333332	427.0	547.0	10.0
C33	c	53.0	52.0	10.79245283018868	0.2075471698113205	249.0	409.0	10.0
C34	c	65.0	55.0	11.846153846153847	2.1538461538461533	63.0	191.0	10.0
C35	c	63.0	65.0	7.753846153846154	0.24615384615384617	726.0	894.0	10.0
C36	c	2.0	60.0	0.16666666666666666	4.833333333333333	823.0	948.0	10.0
C37	c	20.0	20.0	8.0	0.0	500.0	678.0	10.0
C38	c	5.0	5.0	16.0	0.0	587.0	733.0	10.0
C39	c	60.0	12.0	6.2	24.8	284.0	440.0	10.0
C40	c	40.0	25.0	5.625	3.375	733.0	829.0	10.0
C41	c	42.0	7.0	0.8333333333333333	4.166666666666667	782.0	912.0	10.0
C42	c	24.0	12.0	2.5	2.5	41.0	123.0	10.0
C43	c	23.0	3.0	0.9130434782608695	6.086956521739131	381.0	559.0	10.0
C44	c	11.0	14.0	14.142857142857142	3.8571428571428577	578.0	714.0	10.0
C45	c	6.0	38.0	2.526315789473684	13.473684210526315	779.0	960.0	10.0
C46	c	2.0	48.0	0.041666666666666664	0.9583333333333334	58.0	194.0	10.0
C47	c	8.0	56.0	3.8571428571428568	23.142857142857142	619.0	763.0	10.0
C48	c	13.0	52.0	9.0	27.0	418.0	558.0	10.0
C49	c	6.0	68.0	2.647058823529412	27.352941176470587	762.0	884.0	10.0
C50	c	47.0	47.0	13.0	0.0	507.0	599.0	10.0
C51	c	49.0	58.0	8.448275862068966	1.5517241379310338	776.0	906.0	10.0
C52	c	27.0	43.0	5.651162790697675	3.3488372093023253	233.0	391.0	10.0
C53	c	37.0	31.0	11.72972972972973	2.27027027027027	388.0	516.0	10.0
C54	c	57.0	29.0	9.157894736842106	8.842105263157894	23.0	144.0	10.0
C55	c	63.0	23.0	0.7301587301587301	1.2698412698412698	420.0	590.0	10.0
C56	c	53.0	12.0	1.358490566037736	4.6415094339622645	767.0	919.0	10.0
C57	c	32.0	12.0	2.625	4.375	471.0	587.0	10.0
C58	c	36.0	26.0	13.0	5.0	399.0	515.0	10.0
C59	c	21.0	24.0	24.5	3.5	18.0	140.0	10.0
C60	c	17.0	34.0	1.5	1.5	589.0	721.0	10.0
C61	c	12.0	24.0	6.5	6.5	329.0	551.0	10.0
C62	c	24.0	58.0	7.862068965517241	11.137931034482758	840.0	964.0	10.0
C63	c	27.0	69.0	3.9130434782608696	6.086956521739131	779.0	943.0	10.0
C64	c	15.0	77.0	1.7532467532467533	7.246753246753247	719.0	821.0	10.0
C65	c	62.0	77.0	16.103896103896105	3.896103896103895	113.0	215.0	10.0
C66	c	49.0	73.0	16.78082191780822	8.219178082191782	602.0	752.0	10.0
C67	c	67.0	5.0	1.8656716417910446	23.134328358208954	69.0	199.0	10.0
C68	c	56.0	39.0	25.07142857142857	10.92857142857143	318.0	466.0	10.0
C69	c	37.0	47.0	4.723404255319149	1.2765957446808507	468.0	592.0	10.0
C70	c	37.0	56.0	3.3035714285714284	1.6964285714285716	22.0	120.0	10.0
C71	c	57.0	68.0	12.573529411764707	2.4264705882352935	710.0	796.0	10.0
C72	c	47.0	16.0	8.51063829787234	16.48936170212766	104.0	252.0	10.0
C73	c	44.0	17.0	3.477272727272727	5.522727272727273	878.0	960.0	10.0
C74	c	46.0	13.0	2.260869565217391	5.739130434782609	455.0	549.0	10.0
C75	c	49.0	11.0	4.040816326530612	13.959183673469388	537.0	635.0	10.0
C76	c	49.0	42.0	11.142857142857142	1.8571428571428577	222.0	350.0	10.0
C77	c	53.0	43.0	11.358490566037737	2.6415094339622627	86.0	224.0	10.0
C78	c	61.0	52.0	2.5573770491803276	0.4426229508196724	230.0	408.0	10.0
C79	c	57.0	48.0	19.36842105263158	3.6315789473684212	26.0	149.0	10.0
C80	c	56.0	37.0	3.9642857142857144	2.0357142857142856	22.0	184.0	10.0
C81	c	55.0	54.0	25.527272727272727	0.47272727272727266	28.0	138.0	10.0
C82	c	15.0	47.0	5.1063829787234045	10.893617021276595	697.0	803.0	10.0
C83	c	14.0	37.0	4.162162162162162	6.837837837837838	545.0	677.0	10.0
C84	c	11.0	31.0	2.4838709677419355	4.516129032258064	314.0	448.0	10.0
C85	c	16.0	22.0	29.81818181818182	11.18181818181818	552.0	744.0	10.0
C86	c	4.0	18.0	7.777777777777778	27.22222222222222	877.0	947.0	10.0
C87	c	28.0	18.0	16.714285714285715	9.285714285714285	530.0	568.0	10.0
C88	c	26.0	52.0	4.5	4.5	318.0	464.0	10.0
C89	c	26.0	35.0	11.142857142857142	3.8571428571428577	552.0	700.0	10.0
C90	c	31.0	67.0	1.3880597014925373	1.6119402985074627	532.0	636.0	10.0
C91	c	15.0	19.0	0.7894736842105263	0.21052631578947367	463.0	617.0	10.0
C92	c	22.0	22.0	2.0	0.0	223.0	399.0	10.0
C93	c	18.0	24.0	16.5	5.5	565.0	643.0	10.0
C94	c	26.0	27.0	26.0	1.0	534.0	642.0	10.0
C95	c	25.0	24.0	19.2	0.8000000000000007	15.0	179.0	10.0
C96	c	22.0	27.0	8.962962962962962	2.037037037037038	874.0	948.0	10.0
C97	c	25.0	21.0	10.08	1.92	566.0	636.0	10.0
C98	c	19.0	21.0	9.047619047619047	0.9523809523809526	425.0	541.0	10.0
C99	c	20.0	26.0	6.923076923076923	2.0769230769230766	101.0	193.0	10.0
C100	c	18.0	18.0	17.0	0.0	118.0	148.0	10.0

Q Vehicle fuel tank capacity /187.86/
C Vehicle load capacity /1000.0/
r fuel consumption rate /1.0/
g inverse refueling rate /0.16/
v average Velocity /1.0/
