StringID	Type	x	y	Delivery	Pickup	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	960.0	0.0
S0	f	40.0	50.0	0.0	0.0	0.0	960.0	0.0
S1	f	73.0	52.0	0.0	0.0	0.0	960.0	0.0
S2	f	90.0	55.0	0.0	0.0	0.0	960.0	0.0
S3	f	55.0	79.0	0.0	0.0	0.0	960.0	0.0
S4	f	69.0	89.0	0.0	0.0	0.0	960.0	0.0
S5	f	32.0	80.0	0.0	0.0	0.0	960.0	0.0
S6	f	39.0	96.0	0.0	0.0	0.0	960.0	0.0
S7	f	23.0	80.0	0.0	0.0	0.0	960.0	0.0
S8	f	4.0	83.0	0.0	0.0	0.0	960.0	0.0
S9	f	18.0	58.0	0.0	0.0	0.0	960.0	0.0
S10	f	1.0	56.0	0.0	0.0	0.0	960.0	0.0
S11	f	13.0	31.0	0.0	0.0	0.0	960.0	0.0
S12	f	-5.0	38.0	0.0	0.0	0.0	960.0	0.0
S13	f	26.0	37.0	0.0	0.0	0.0	960.0	0.0
S14	f	28.0	13.0	0.0	0.0	0.0	960.0	0.0
S15	f	39.0	31.0	0.0	0.0	0.0	960.0	0.0
S16	f	48.0	11.0	0.0	0.0	0.0	960.0	0.0
S17	f	59.0	17.0	0.0	0.0	0.0	960.0	0.0
S18	f	73.0	23.0	0.0	0.0	0.0	960.0	0.0
S19	f	74.0	32.0	0.0	0.0	0.0	960.0	0.0
S20	f	90.0	44.0	0.0	0.0	0.0	960.0	0.0
C1	c	25.0	85.0	5.882352941176471	14.117647058823529	240.0	480.0	10.0
C2	c	22.0	75.0	8.8	21.2	31.0	271.0	10.0
C3	c	22.0	85.0	2.588235294117647	7.411764705882353	278.0	518.0	10.0
C4	c	20.0	80.0	10.0	30.0	652.0	892.0	10.0
C5	c	20.0	85.0	4.705882352941177	15.294117647058822	669.0	909.0	10.0
C6	c	18.0	75.0	4.8	15.2	198.0	438.0	10.0
C7	c	15.0	75.0	4.0	16.0	69.0	309.0	10.0
C8	c	15.0	80.0	1.875	8.125	380.0	620.0	10.0
C9	c	10.0	35.0	5.7142857142857135	14.285714285714286	594.0	834.0	10.0
C10	c	10.0	40.0	7.5	22.5	346.0	586.0	10.0
C11	c	8.0	40.0	8.0	32.0	341.0	581.0	10.0
C12	c	8.0	45.0	3.555555555555556	16.444444444444443	677.0	917.0	10.0
C13	c	5.0	35.0	1.4285714285714284	8.571428571428571	39.0	279.0	10.0
C14	c	5.0	45.0	1.1111111111111112	8.88888888888889	138.0	378.0	10.0
C15	c	2.0	40.0	1.0	19.0	670.0	910.0	10.0
C16	c	0.0	40.0	0.0	20.0	120.0	360.0	10.0
C17	c	0.0	45.0	0.0	20.0	116.0	356.0	10.0
C18	c	44.0	5.0	2.2727272727272725	17.727272727272727	664.0	904.0	10.0
C19	c	42.0	10.0	9.523809523809524	30.476190476190474	41.0	281.0	10.0
C20	c	42.0	15.0	3.5714285714285716	6.428571428571429	148.0	388.0	10.0
C21	c	40.0	5.0	1.25	8.75	462.0	702.0	10.0
C22	c	40.0	15.0	15.0	25.0	561.0	801.0	10.0
C23	c	38.0	5.0	3.9473684210526314	26.05263157894737	209.0	449.0	10.0
C24	c	38.0	15.0	3.947368421052632	6.052631578947368	101.0	341.0	10.0
C25	c	35.0	5.0	2.8571428571428568	17.142857142857142	46.0	286.0	10.0
C26	c	95.0	30.0	9.473684210526315	20.526315789473685	651.0	891.0	10.0
C27	c	95.0	35.0	7.368421052631579	12.631578947368421	615.0	855.0	10.0
C28	c	92.0	30.0	3.2608695652173916	6.739130434782608	93.0	333.0	10.0
C29	c	90.0	35.0	3.888888888888889	6.111111111111111	441.0	681.0	10.0
