Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,};
Customers = {10,11,12,13,14,};
Depot_N1 = {15};

v = 1.0;
C = 1000.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	57.0
5	:	57.0
6	:	57.0
7	:	77.0
8	:	77.0
9	:	77.0
10	:	41.0
11	:	65.0
12	:	55.0
13	:	58.0
14	:	87.0
15	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	82.0
5	:	82.0
6	:	82.0
7	:	30.0
8	:	30.0
9	:	30.0
10	:	37.0
11	:	82.0
12	:	54.0
13	:	75.0
14	:	30.0
15	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	14.0
11	:	7.0
12	:	25.0
13	:	15.0
14	:	3.0
15	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	2.0
11	:	3.0
12	:	1.0
13	:	5.0
14	:	7.0
15	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	383.0
11	:	59.0
12	:	142.0
13	:	73.0
14	:	69.0
15	:	0.0
]#;

l = #[
0	:	960.0
1	:	960.0
2	:	960.0
3	:	960.0
4	:	960.0
5	:	960.0
6	:	960.0
7	:	960.0
8	:	960.0
9	:	960.0
10	:	905.0
11	:	632.0
12	:	532.0
13	:	561.0
14	:	539.0
15	:	960.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	0.0
]#;
